,lamda,beta,p,acc_sy_C,nmi_sy_C
0,0.1,0.1,3,0.40347826086956523,0.6360942054634896
1,0.1,0.5,3,0.4191304347826087,0.6230894067645297
2,0.1,1.0,3,0.3843478260869565,0.5962828076029688
3,0.1,5.0,3,0.3791304347826087,0.5990198755796577
4,0.1,10.0,3,0.42086956521739133,0.5941219328631424
5,0.1,50.0,3,0.3773913043478261,0.5876765217549931
6,0.1,0.1,6,0.3982608695652174,0.6234543836156127
7,0.1,0.5,6,0.4504347826086956,0.6370007575425369
8,0.1,1.0,6,0.37565217391304345,0.6452082727238392
9,0.1,5.0,6,0.43478260869565216,0.6411469531032071
10,0.1,10.0,6,0.42434782608695654,0.6324948163040298
11,0.1,50.0,6,0.41739130434782606,0.6244703162464554
12,0.1,0.1,9,0.43826086956521737,0.6580896035099802
13,0.1,0.5,9,0.41391304347826086,0.6366565181811951
14,0.1,1.0,9,0.4434782608695652,0.6393062582499222
15,0.1,5.0,9,0.4504347826086956,0.671973616936902
16,0.1,10.0,9,0.4226086956521739,0.6409731728794126
17,0.1,50.0,9,0.4052173913043478,0.6496356688791608
18,0.5,0.1,3,0.4504347826086956,0.6646812159938397
19,0.5,0.5,3,0.4469565217391304,0.629516920368674
20,0.5,1.0,3,0.4226086956521739,0.660664359291085
21,0.5,5.0,3,0.45217391304347826,0.6624476671846484
22,0.5,10.0,3,0.4434782608695652,0.6719266481658531
23,0.5,50.0,3,0.41739130434782606,0.6236473384341289
24,0.5,0.1,6,0.4539130434782609,0.678340437263756
25,0.5,0.5,6,0.4817391304347826,0.7045795590395307
26,0.5,1.0,6,0.44173913043478263,0.6762277667410115
27,0.5,5.0,6,0.5234782608695652,0.7133545645638177
28,0.5,10.0,6,0.4678260869565217,0.6830709502721907
29,0.5,50.0,6,0.4852173913043478,0.6670569158207116
30,0.5,0.1,9,0.4573913043478261,0.675589857461534
31,0.5,0.5,9,0.41391304347826086,0.6633567130520998
32,0.5,1.0,9,0.44869565217391305,0.6750097258642164
33,0.5,5.0,9,0.43826086956521737,0.6832950064196802
34,0.5,10.0,9,0.4573913043478261,0.7042194805039349
35,0.5,50.0,9,0.4765217391304348,0.6718113419270137
36,1.0,0.1,3,0.4260869565217391,0.6669913852232054
37,1.0,0.5,3,0.45217391304347826,0.6851297858580732
38,1.0,1.0,3,0.4295652173913043,0.6696518044035122
39,1.0,5.0,3,0.5356521739130434,0.7285478157540135
40,1.0,10.0,3,0.41391304347826086,0.6747566311601219
41,1.0,50.0,3,0.41739130434782606,0.6800137995987661
42,1.0,0.1,6,0.45565217391304347,0.698473643901735
43,1.0,0.5,6,0.5252173913043479,0.7243818036103746
44,1.0,1.0,6,0.48695652173913045,0.7096076998554013
45,1.0,5.0,6,0.4539130434782609,0.6922977474944684
46,1.0,10.0,6,0.5252173913043479,0.7400177930503349
47,1.0,50.0,6,0.5304347826086957,0.7166443971553842
48,1.0,0.1,9,0.42782608695652175,0.6725310241655421
49,1.0,0.5,9,0.44521739130434784,0.6852478877690624
50,1.0,1.0,9,0.44173913043478263,0.6949244777564084
51,1.0,5.0,9,0.4608695652173913,0.6799117867165987
52,1.0,10.0,9,0.5008695652173913,0.7057680389641974
53,1.0,50.0,9,0.43826086956521737,0.6717223955270675
54,5.0,0.1,3,0.4678260869565217,0.7211279259411146
55,5.0,0.5,3,0.4765217391304348,0.717914909979938
56,5.0,1.0,3,0.4434782608695652,0.700248090331954
57,5.0,5.0,3,0.48,0.7231488244083923
58,5.0,10.0,3,0.5182608695652174,0.7398583661365844
59,5.0,50.0,3,0.4834782608695652,0.6979371196687532
60,5.0,0.1,6,0.45217391304347826,0.6917812021598119
61,5.0,0.5,6,0.46608695652173915,0.7228185889734409
62,5.0,1.0,6,0.48869565217391303,0.7383895301224421
63,5.0,5.0,6,0.5113043478260869,0.7649396022820202
64,5.0,10.0,6,0.5617391304347826,0.7681105915282828
65,5.0,50.0,6,0.5373913043478261,0.7642478201916846
66,5.0,0.1,9,0.45565217391304347,0.6795167489329201
67,5.0,0.5,9,0.4260869565217391,0.6603068669299932
68,5.0,1.0,9,0.4573913043478261,0.6698679264761848
69,5.0,5.0,9,0.4834782608695652,0.7128920924434988
70,5.0,10.0,9,0.4539130434782609,0.6923243295444
71,5.0,50.0,9,0.4765217391304348,0.7146819210711147
72,10.0,0.1,3,0.4817391304347826,0.7491353009954639
73,10.0,0.5,3,0.4817391304347826,0.7403096486689276
74,10.0,1.0,3,0.4991304347826087,0.726058675938751
75,10.0,5.0,3,0.5356521739130434,0.7422583078541741
76,10.0,10.0,3,0.5530434782608695,0.7342713258989977
77,10.0,50.0,3,0.528695652173913,0.7844141952738787
78,10.0,0.1,6,0.49043478260869566,0.729432971171174
79,10.0,0.5,6,0.5026086956521739,0.7166397290892006
80,10.0,1.0,6,0.47304347826086957,0.7075636077490534
81,10.0,5.0,6,0.5252173913043479,0.7658500119762037
82,10.0,10.0,6,0.5739130434782609,0.7804344753885117
83,10.0,50.0,6,0.5582608695652174,0.7423814546549327
84,10.0,0.1,9,0.41739130434782606,0.6685861696405573
85,10.0,0.5,9,0.4226086956521739,0.6586798551524919
86,10.0,1.0,9,0.44521739130434784,0.6829455383829134
87,10.0,5.0,9,0.47130434782608693,0.7086518808387486
88,10.0,10.0,9,0.4956521739130435,0.708241072363165
89,10.0,50.0,9,0.46260869565217394,0.727342455278285
90,50.0,0.1,3,0.5060869565217392,0.7642083287072301
91,50.0,0.5,3,0.5565217391304348,0.7712684749112462
92,50.0,1.0,3,0.5304347826086957,0.7712428221372215
93,50.0,5.0,3,0.6052173913043478,0.7915823641947722
94,50.0,10.0,3,0.5791304347826087,0.789440397716123
95,50.0,50.0,3,0.5808695652173913,0.7839164811973386
96,50.0,0.1,6,0.5217391304347826,0.7651421216138186
97,50.0,0.5,6,0.4747826086956522,0.736479633841222
98,50.0,1.0,6,0.5147826086956522,0.7404422455666401
99,50.0,5.0,6,0.5060869565217392,0.7563687736497147
100,50.0,10.0,6,0.52,0.7399482657683434
101,50.0,50.0,6,0.5791304347826087,0.794330841355128
102,50.0,0.1,9,0.44869565217391305,0.6801616998962433
103,50.0,0.5,9,0.4469565217391304,0.6730228965307119
104,50.0,1.0,9,0.4852173913043478,0.7197293039026075
105,50.0,5.0,9,0.4539130434782609,0.6954564611317039
106,50.0,10.0,9,0.45217391304347826,0.6825079526457907
107,50.0,50.0,9,0.5182608695652174,0.7289463545079917
108,100.0,0.1,3,0.5739130434782609,0.7940530385816444
109,100.0,0.5,3,0.5147826086956522,0.7690672153855768
110,100.0,1.0,3,0.5617391304347826,0.7998390025962324
111,100.0,5.0,3,0.5408695652173913,0.7589112916096193
112,100.0,10.0,3,0.5947826086956521,0.7982568191570962
113,100.0,50.0,3,0.6156521739130435,0.8035597469232566
114,100.0,0.1,6,0.5078260869565218,0.7510570708536998
115,100.0,0.5,6,0.5339130434782609,0.7571922533064326
116,100.0,1.0,6,0.5321739130434783,0.763122338488456
117,100.0,5.0,6,0.551304347826087,0.7839649064813621
118,100.0,10.0,6,0.5669565217391305,0.795331550415511
119,100.0,50.0,6,0.5930434782608696,0.7739903144608073
120,100.0,0.1,9,0.4852173913043478,0.7242883097467666
121,100.0,0.5,9,0.48695652173913045,0.716908228547968
122,100.0,1.0,9,0.48695652173913045,0.7268162517267446
123,100.0,5.0,9,0.5356521739130434,0.7371231785557204
124,100.0,10.0,9,0.4956521739130435,0.7210030725080058
125,100.0,50.0,9,0.5147826086956522,0.7225082613259839
