,lamda,beta,p,acc_coI,nmi_coI
112,100.0,10.0,3,0.4875,0.5586026113071451
113,100.0,50.0,3,0.5175,0.5828469113178298
114,100.0,0.1,6,0.5725,0.5906935272202957
115,100.0,0.5,6,0.575,0.5854454301769861
116,100.0,1.0,6,0.575,0.5993464685494607
117,100.0,5.0,6,0.5725,0.5981498006296152
118,100.0,10.0,6,0.57,0.5722230696634778
119,100.0,50.0,6,0.5775,0.5835792124499846
120,100.0,0.1,9,0.5175,0.5488664834619211
121,100.0,0.5,9,0.535,0.5840369862653422
122,100.0,1.0,9,0.51,0.549425330109728
123,100.0,5.0,9,0.525,0.5848527811069212
124,100.0,10.0,9,0.5525,0.595295481807542
125,100.0,50.0,9,0.5325,0.5909501597612459
