,lamda,beta,p,acc_coI,nmi_coI
0,0.1,0.1,3,0.625,0.5810450759899962
1,0.1,0.5,3,0.53,0.5149338249596448
2,0.1,1.0,3,0.4775,0.5018959619581892
3,0.1,5.0,3,0.5,0.46804971676549884
4,0.1,10.0,3,0.455,0.5012079774220527
5,0.1,50.0,3,0.525,0.4872328043388923
6,0.1,0.1,6,0.515,0.515764007920139
7,0.1,0.5,6,0.515,0.5257163118937246
8,0.1,1.0,6,0.52,0.5347494091333548
9,0.1,5.0,6,0.545,0.5274770373325088
10,0.1,10.0,6,0.57,0.5348233189183299
11,0.1,50.0,6,0.5225,0.5267306723640806
12,0.1,0.1,9,0.5625,0.5475140241682223
13,0.1,0.5,9,0.625,0.602873231383186
14,0.1,1.0,9,0.575,0.5627975643579565
15,0.1,5.0,9,0.5575,0.5520551852768332
16,0.1,10.0,9,0.5475,0.5227325472718792
17,0.1,50.0,9,0.62,0.5946053066813826
18,0.5,0.1,3,0.535,0.5415338801494624
19,0.5,0.5,3,0.5075,0.5521204489852473
20,0.5,1.0,3,0.57,0.5692477941753421
21,0.5,5.0,3,0.4725,0.4992430433061449
22,0.5,10.0,3,0.5675,0.584915170299341
23,0.5,50.0,3,0.4975,0.5272105355911144
24,0.5,0.1,6,0.64,0.6337939040944325
25,0.5,0.5,6,0.625,0.6022213677924583
26,0.5,1.0,6,0.6175,0.6006167754135079
27,0.5,5.0,6,0.5525,0.5808262900340391
28,0.5,10.0,6,0.6325,0.629870896964732
29,0.5,50.0,6,0.5775,0.5852508640012078
30,0.5,0.1,9,0.62,0.6226166264145135
31,0.5,0.5,9,0.645,0.6446864281189235
32,0.5,1.0,9,0.5675,0.5697314122221391
33,0.5,5.0,9,0.62,0.5849999878341048
34,0.5,10.0,9,0.555,0.6013233684439847
35,0.5,50.0,9,0.6,0.6184276664951401
36,1.0,0.1,3,0.64,0.6208343495553856
37,1.0,0.5,3,0.6125,0.6039515745706855
38,1.0,1.0,3,0.5775,0.5791327753297674
39,1.0,5.0,3,0.5675,0.6120886256026946
40,1.0,10.0,3,0.5475,0.5829100637637393
41,1.0,50.0,3,0.5625,0.5729309480925161
42,1.0,0.1,6,0.61,0.6388746798758576
43,1.0,0.5,6,0.63,0.6133792720544149
44,1.0,1.0,6,0.6,0.585990724855349
45,1.0,5.0,6,0.6225,0.5764487825179888
46,1.0,10.0,6,0.6425,0.6695527377698176
47,1.0,50.0,6,0.6225,0.6440644234181576
48,1.0,0.1,9,0.5375,0.5952482651748894
49,1.0,0.5,9,0.5875,0.579135407030478
50,1.0,1.0,9,0.6375,0.6428110897064883
51,1.0,5.0,9,0.555,0.6031462257456982
52,1.0,10.0,9,0.595,0.5978721479963365
53,1.0,50.0,9,0.6175,0.6252275016795771
54,5.0,0.1,3,0.6125,0.6448023178958766
55,5.0,0.5,3,0.605,0.6132287085710316
56,5.0,1.0,3,0.63,0.6163354419135713
57,5.0,5.0,3,0.52,0.5802330341107294
58,5.0,10.0,3,0.6,0.6318671723587966
59,5.0,50.0,3,0.6375,0.633124998018952
60,5.0,0.1,6,0.6425,0.6186561208235993
61,5.0,0.5,6,0.635,0.60620656295969
62,5.0,1.0,6,0.595,0.626133949404969
63,5.0,5.0,6,0.6325,0.6168177357251453
64,5.0,10.0,6,0.6325,0.6277759654419724
65,5.0,50.0,6,0.58,0.6160695339440623
66,5.0,0.1,9,0.555,0.5903405205152236
67,5.0,0.5,9,0.55,0.58954138529189
68,5.0,1.0,9,0.555,0.6047548923157156
69,5.0,5.0,9,0.5475,0.5901873515743107
70,5.0,10.0,9,0.565,0.6056494120557256
71,5.0,50.0,9,0.55,0.6019007491406819
72,10.0,0.1,3,0.5475,0.5950330462044982
73,10.0,0.5,3,0.5475,0.6116679741226473
74,10.0,1.0,3,0.5825,0.6262782293982045
75,10.0,5.0,3,0.5875,0.6356049472252693
76,10.0,10.0,3,0.55,0.629476827505561
77,10.0,50.0,3,0.58,0.6149238861858585
78,10.0,0.1,6,0.575,0.6084011838160802
79,10.0,0.5,6,0.575,0.6036843158917478
80,10.0,1.0,6,0.585,0.6162380503905829
81,10.0,5.0,6,0.58,0.6049614367826802
82,10.0,10.0,6,0.5775,0.6007298772653636
83,10.0,50.0,6,0.5775,0.6083453098778133
84,10.0,0.1,9,0.5275,0.5874962773665127
85,10.0,0.5,9,0.525,0.5842219253849418
86,10.0,1.0,9,0.53,0.5967309020500988
87,10.0,5.0,9,0.535,0.5966517228014586
88,10.0,10.0,9,0.5375,0.5949018930536588
89,10.0,50.0,9,0.53,0.5863601871400338
90,50.0,0.1,3,0.57,0.6101907102604013
91,50.0,0.5,3,0.58,0.6197915776494201
92,50.0,1.0,3,0.57,0.6182425266673758
93,50.0,5.0,3,0.575,0.6339289986908978
94,50.0,10.0,3,0.56,0.6072870049760176
95,50.0,50.0,3,0.5625,0.6076340253322216
96,50.0,0.1,6,0.585,0.6049198160713359
97,50.0,0.5,6,0.575,0.5939858605485742
98,50.0,1.0,6,0.5825,0.5943387975368346
99,50.0,5.0,6,0.5725,0.6060176818877302
100,50.0,10.0,6,0.5825,0.6078996384010541
101,50.0,50.0,6,0.5825,0.6063504667891204
102,50.0,0.1,9,0.54,0.6015822182048072
103,50.0,0.5,9,0.5375,0.5915134875453476
104,50.0,1.0,9,0.53,0.600079102354453
105,50.0,5.0,9,0.5125,0.5756048256893121
106,50.0,10.0,9,0.5225,0.5819292787795798
107,50.0,50.0,9,0.535,0.5912661347743984
108,100.0,0.1,3,0.575,0.6194405626716314
109,100.0,0.5,3,0.555,0.6046928509546641
110,100.0,1.0,3,0.5625,0.6070093481969101
111,100.0,5.0,3,0.54,0.5956324826605269
