,lamda,beta,p,acc_inG,nmi_inG
8,0.1,1,6,0.938967136,0.916401174
63,5,5,6,0.9342723,0.907437722
46,1,10,6,0.920187793,0.894782195
14,0.1,1,9,0.906103286,0.877840218
20,0.5,1,3,0.901408451,0.889330539
60,5,0.1,6,0.896713615,0.875081893
9,0.1,5,6,0.892018779,0.874056379
43,1,0.5,6,0.887323944,0.869239951
2,0.1,1,3,0.882629108,0.848462634
62,5,1,6,0.868544601,0.839062753
86,10,1,9,0.863849765,0.83440598
59,5,50,3,0.85915493,0.845304295
67,5,0.5,9,0.85915493,0.876979702
10,0.1,10,6,0.854460094,0.857261074
64,5,10,6,0.854460094,0.835103372
25,0.5,0.5,6,0.849765258,0.841149168
21,0.5,5,3,0.845070423,0.89131782
38,1,1,3,0.835680751,0.878664714
66,5,0.1,9,0.835680751,0.846735517
65,5,50,6,0.82629108,0.811079411
11,0.1,50,6,0.821596244,0.879302002
15,0.1,5,9,0.821596244,0.855128169
18,0.5,0.1,3,0.821596244,0.821907144
22,0.5,10,3,0.821596244,0.896112317
37,1,0.5,3,0.821596244,0.842412547
70,5,10,9,0.821596244,0.836416098
4,0.1,10,3,0.816901408,0.838507826
17,0.1,50,9,0.816901408,0.822416309
53,1,50,9,0.816901408,0.835167197
3,0.1,5,3,0.812206573,0.812589401
36,1,0.1,3,0.812206573,0.872271553
40,1,10,3,0.812206573,0.893961336
23,0.5,50,3,0.807511737,0.846750466
32,0.5,1,9,0.807511737,0.857935296
42,1,0.1,6,0.807511737,0.821058332
49,1,0.5,9,0.807511737,0.873029454
35,0.5,50,9,0.802816901,0.819930631
61,5,0.5,6,0.802816901,0.832089175
0,0.1,0.1,3,0.798122066,0.823202251
34,0.5,10,9,0.798122066,0.857776961
72,10,0.1,3,0.798122066,0.820190228
19,0.5,0.5,3,0.79342723,0.825565028
52,1,10,9,0.79342723,0.816579503
58,5,10,3,0.79342723,0.817833033
16,0.1,10,9,0.788732394,0.811520315
48,1,0.1,9,0.788732394,0.852519401
68,5,1,9,0.788732394,0.823000725
77,10,50,3,0.788732394,0.850621151
44,1,1,6,0.784037559,0.84180546
50,1,1,9,0.784037559,0.822248299
54,5,0.1,3,0.784037559,0.827589772
7,0.1,0.5,6,0.779342723,0.822652797
12,0.1,0.1,9,0.779342723,0.858549174
45,1,5,6,0.779342723,0.827811171
71,5,50,9,0.779342723,0.810575673
39,1,5,3,0.774647887,0.796369843
57,5,5,3,0.774647887,0.807278429
24,0.5,0.1,6,0.769953052,0.774849769
31,0.5,0.5,9,0.769953052,0.823958012
69,5,5,9,0.769953052,0.835227005
84,10,0.1,9,0.769953052,0.781826141
89,10,50,9,0.769953052,0.802428907
41,1,50,3,0.765258216,0.817056678
83,10,50,6,0.765258216,0.815987595
5,0.1,50,3,0.76056338,0.815502779
27,0.5,5,6,0.76056338,0.835657307
30,0.5,0.1,9,0.76056338,0.79122372
78,10,0.1,6,0.76056338,0.798470614
79,10,0.5,6,0.76056338,0.791725984
13,0.1,0.5,9,0.755868545,0.820557922
82,10,10,6,0.755868545,0.770177714
1,0.1,0.5,3,0.751173709,0.779237033
6,0.1,0.1,6,0.751173709,0.80461212
26,0.5,1,6,0.746478873,0.797639246
51,1,5,9,0.746478873,0.814755083
56,5,1,3,0.746478873,0.820327433
55,5,0.5,3,0.741784038,0.786877114
80,10,1,6,0.741784038,0.757243288
33,0.5,5,9,0.737089202,0.743112252
88,10,10,9,0.737089202,0.795093634
73,10,0.5,3,0.732394366,0.781186518
87,10,5,9,0.732394366,0.778920382
85,10,0.5,9,0.727699531,0.775647385
75,10,5,3,0.723004695,0.78194886
81,10,5,6,0.723004695,0.770081359
28,0.5,10,6,0.718309859,0.810495874
74,10,1,3,0.718309859,0.780096297
29,0.5,50,6,0.680751174,0.799766869
47,1,50,6,0.676056338,0.780194254
76,10,10,3,0.600938967,0.767687649
100,50,10,6,0.539906103,0.538415662
90,50,0.1,3,0.521126761,0.511122413
102,50,0.1,9,0.511737089,0.48065745
106,50,10,9,0.511737089,0.495281913
98,50,1,6,0.497652582,0.511401144
91,50,0.5,3,0.492957746,0.485576816
99,50,5,6,0.492957746,0.47144984
92,50,1,3,0.464788732,0.516295496
96,50,0.1,6,0.450704225,0.426495819
97,50,0.5,6,0.450704225,0.509130087
104,50,1,9,0.450704225,0.448326974
105,50,5,9,0.450704225,0.485373163
101,50,50,6,0.44600939,0.420853717
93,50,5,3,0.441314554,0.454587887
103,50,0.5,9,0.431924883,0.445458216
94,50,10,3,0.427230047,0.441433149
107,50,50,9,0.408450704,0.460853009
95,50,50,3,0.34741784,0.337628824
121,100,0.5,9,0.34741784,0.306448389
125,100,50,9,0.34741784,0.303731798
116,100,1,6,0.323943662,0.285815245
113,100,50,3,0.319248826,0.263676268
122,100,1,9,0.314553991,0.261634045
118,100,10,6,0.309859155,0.261997157
123,100,5,9,0.309859155,0.230260832
110,100,1,3,0.305164319,0.272673925
112,100,10,3,0.300469484,0.259070681
120,100,0.1,9,0.300469484,0.232158161
117,100,5,6,0.295774648,0.270009163
108,100,0.1,3,0.291079812,0.263354678
109,100,0.5,3,0.291079812,0.224094656
114,100,0.1,6,0.286384977,0.210321277
119,100,50,6,0.276995305,0.237091264
124,100,10,9,0.272300469,0.222496571
111,100,5,3,0.258215962,0.240001606
115,100,0.5,6,0.244131455,0.196208981
