,lamda,beta,p,acc_hyT,nmi_hyT
0,0.1,0.1,3,0.7887323943661971,0.8190975295628974
1,0.1,0.5,3,0.8403755868544601,0.8632598110083156
2,0.1,1.0,3,0.9107981220657277,0.8857229441791975
3,0.1,5.0,3,0.8685446009389671,0.8490303594529115
4,0.1,10.0,3,0.7605633802816901,0.7901318483920178
5,0.1,50.0,3,0.7652582159624414,0.7529003945686731
6,0.1,0.1,6,0.8075117370892019,0.8690816530191817
7,0.1,0.5,6,0.7464788732394366,0.7998763869377394
8,0.1,1.0,6,0.8169014084507042,0.8157593787938213
9,0.1,5.0,6,0.7981220657276995,0.8739244735285507
10,0.1,10.0,6,0.8169014084507042,0.8247946089756872
11,0.1,50.0,6,0.7981220657276995,0.8093750561023879
12,0.1,0.1,9,0.8215962441314554,0.843838968330034
13,0.1,0.5,9,0.812206572769953,0.8454120559691656
14,0.1,1.0,9,0.7605633802816901,0.8228202190882122
15,0.1,5.0,9,0.8075117370892019,0.849868919231237
16,0.1,10.0,9,0.7746478873239436,0.7849406738319242
17,0.1,50.0,9,0.8075117370892019,0.7766603029588003
18,0.5,0.1,3,0.8403755868544601,0.8895407755748211
19,0.5,0.5,3,0.8732394366197183,0.8538574302791371
20,0.5,1.0,3,0.7699530516431925,0.8433858843998566
21,0.5,5.0,3,0.7887323943661971,0.8343650031716883
22,0.5,10.0,3,0.7605633802816901,0.8065348784526478
23,0.5,50.0,3,0.7230046948356808,0.724901717504522
24,0.5,0.1,6,0.863849765258216,0.8730344106035781
25,0.5,0.5,6,0.8732394366197183,0.8727116181721076
26,0.5,1.0,6,0.8028169014084507,0.8292545359969297
27,0.5,5.0,6,0.8685446009389671,0.8598971570261156
28,0.5,10.0,6,0.9061032863849765,0.8879228049109906
29,0.5,50.0,6,0.6384976525821596,0.7036496865588098
30,0.5,0.1,9,0.6948356807511737,0.8286602431036172
31,0.5,0.5,9,0.6995305164319249,0.7988926019989339
32,0.5,1.0,9,0.755868544600939,0.76746511074066
33,0.5,5.0,9,0.8591549295774648,0.8854776187140079
34,0.5,10.0,9,0.8075117370892019,0.8225138031471798
35,0.5,50.0,9,0.7089201877934272,0.7548752165424214
36,1.0,0.1,3,0.9295774647887324,0.9066747588246294
37,1.0,0.5,3,0.7370892018779343,0.7999748078912075
38,1.0,1.0,3,0.7230046948356808,0.8034546962022451
39,1.0,5.0,3,0.7417840375586855,0.7982116948443281
40,1.0,10.0,3,0.6619718309859155,0.7491040948204092
41,1.0,50.0,3,0.7464788732394366,0.7559517633493801
42,1.0,0.1,6,0.7511737089201878,0.7947024547375066
43,1.0,0.5,6,0.7793427230046949,0.826208007888562
44,1.0,1.0,6,0.8356807511737089,0.8456395104051477
45,1.0,5.0,6,0.7511737089201878,0.7800625396469635
46,1.0,10.0,6,0.704225352112676,0.7829373608259004
47,1.0,50.0,6,0.704225352112676,0.7093177307307259
48,1.0,0.1,9,0.7793427230046949,0.8063572636627636
49,1.0,0.5,9,0.755868544600939,0.8302127086317388
50,1.0,1.0,9,0.7699530516431925,0.7824484888958341
51,1.0,5.0,9,0.755868544600939,0.8023357514543962
52,1.0,10.0,9,0.812206572769953,0.8125164606094276
53,1.0,50.0,9,0.8215962441314554,0.771073871164695
54,5.0,0.1,3,0.8779342723004695,0.8602953711730315
55,5.0,0.5,3,0.7323943661971831,0.7417376321276944
56,5.0,1.0,3,0.812206572769953,0.8247894739771419
57,5.0,5.0,3,0.784037558685446,0.7709567386813448
58,5.0,10.0,3,0.784037558685446,0.8258599634941048
59,5.0,50.0,3,0.6995305164319249,0.7287438900746203
60,5.0,0.1,6,0.7370892018779343,0.7770699552879182
61,5.0,0.5,6,0.784037558685446,0.7858401491183744
62,5.0,1.0,6,0.7793427230046949,0.8144422600966472
63,5.0,5.0,6,0.7370892018779343,0.7800835374480296
64,5.0,10.0,6,0.7464788732394366,0.8093410926221402
65,5.0,50.0,6,0.7136150234741784,0.6859922650783026
66,5.0,0.1,9,0.7089201877934272,0.8080608743630268
67,5.0,0.5,9,0.704225352112676,0.7779261556256363
68,5.0,1.0,9,0.7934272300469484,0.8227199108136041
69,5.0,5.0,9,0.7183098591549296,0.809238133275643
70,5.0,10.0,9,0.704225352112676,0.7253903974804737
71,5.0,50.0,9,0.7323943661971831,0.7368592408668156
72,10.0,0.1,3,0.6807511737089202,0.7768983419383992
73,10.0,0.5,3,0.7652582159624414,0.792406429491758
74,10.0,1.0,3,0.6244131455399061,0.7372287222873968
75,10.0,5.0,3,0.784037558685446,0.8136536757167266
76,10.0,10.0,3,0.7417840375586855,0.7365738921023179
77,10.0,50.0,3,0.6948356807511737,0.6881462879177703
78,10.0,0.1,6,0.7887323943661971,0.8099722396811955
79,10.0,0.5,6,0.7370892018779343,0.7647383884843094
80,10.0,1.0,6,0.812206572769953,0.8269475545182335
81,10.0,5.0,6,0.6948356807511737,0.7561719503211686
82,10.0,10.0,6,0.6525821596244131,0.7044328794223568
83,10.0,50.0,6,0.676056338028169,0.6813696643562849
