,lamda,beta,p,acc_hyT,nmi_hyT
84,10.0,0.1,9,0.7370892018779343,0.7801752463142548
85,10.0,0.5,9,0.7934272300469484,0.8273717534994955
86,10.0,1.0,9,0.755868544600939,0.8318708962478972
87,10.0,5.0,9,0.7934272300469484,0.7566339613214184
88,10.0,10.0,9,0.6901408450704225,0.7067226758505278
89,10.0,50.0,9,0.6713615023474179,0.6574676174003542
90,50.0,0.1,3,0.4788732394366197,0.47139923976651843
91,50.0,0.5,3,0.4694835680751174,0.4706328540560718
92,50.0,1.0,3,0.48826291079812206,0.44090622894841286
93,50.0,5.0,3,0.5211267605633803,0.5114217196830109
94,50.0,10.0,3,0.4413145539906103,0.4261426166727862
95,50.0,50.0,3,0.38967136150234744,0.34159038823200305
96,50.0,0.1,6,0.4225352112676056,0.4356410634855964
97,50.0,0.5,6,0.4225352112676056,0.44889134822983406
98,50.0,1.0,6,0.40375586854460094,0.39921164212085114
99,50.0,5.0,6,0.4225352112676056,0.3968144642646873
100,50.0,10.0,6,0.4647887323943662,0.476700828635837
101,50.0,50.0,6,0.41784037558685444,0.3907849760456466
102,50.0,0.1,9,0.49295774647887325,0.48101414576013574
103,50.0,0.5,9,0.43661971830985913,0.3930395199134363
104,50.0,1.0,9,0.4835680751173709,0.4648735803978204
105,50.0,5.0,9,0.39436619718309857,0.4177526500284344
106,50.0,10.0,9,0.4835680751173709,0.5165654735590877
107,50.0,50.0,9,0.4788732394366197,0.3758050523658131
108,100.0,0.1,3,0.2535211267605634,0.20508864488015566
109,100.0,0.5,3,0.30985915492957744,0.2589249728712137
110,100.0,1.0,3,0.30985915492957744,0.24793892046967397
111,100.0,5.0,3,0.30985915492957744,0.2727450606763895
112,100.0,10.0,3,0.27699530516431925,0.21157244722706117
113,100.0,50.0,3,0.29577464788732394,0.24173848657301408
114,100.0,0.1,6,0.36619718309859156,0.3421096075223493
115,100.0,0.5,6,0.26291079812206575,0.22865311508651187
116,100.0,1.0,6,0.3286384976525822,0.2683644137584242
117,100.0,5.0,6,0.3615023474178404,0.31038496287739414
118,100.0,10.0,6,0.2535211267605634,0.18024674393713802
119,100.0,50.0,6,0.23943661971830985,0.20423275200826987
120,100.0,0.1,9,0.29107981220657275,0.2233514740470206
121,100.0,0.5,9,0.3145539906103286,0.24356461732501802
122,100.0,1.0,9,0.26291079812206575,0.20353114053257582
123,100.0,5.0,9,0.28169014084507044,0.2041795103923755
124,100.0,10.0,9,0.38967136150234744,0.3156247534499279
125,100.0,50.0,9,0.2863849765258216,0.20993224594825716
