,lamda,beta,p,acc_hyT,nmi_hyT
60,5,0.1,6,0.635,0.623170859
42,1,0.1,6,0.63,0.629920666
117,100,5,6,0.6,0.604203422
79,10,0.5,6,0.5975,0.631569617
48,1,0.1,9,0.595,0.577598328
54,5,0.1,3,0.5925,0.623652425
73,10,0.5,3,0.5925,0.586062822
86,10,1,9,0.5925,0.611795042
118,100,10,6,0.5925,0.600049878
66,5,0.1,9,0.59,0.584725155
99,50,5,6,0.59,0.593427547
96,50,0.1,6,0.5825,0.601934009
24,0.5,0.1,6,0.58,0.593165896
30,0.5,0.1,9,0.58,0.583466199
78,10,0.1,6,0.58,0.604736752
114,100,0.1,6,0.58,0.602809954
116,100,1,6,0.58,0.591949627
115,100,0.5,6,0.5775,0.596559726
97,50,0.5,6,0.575,0.596941331
72,10,0.1,3,0.5675,0.616628608
91,50,0.5,3,0.565,0.5972448
36,1,0.1,3,0.5575,0.572943905
98,50,1,6,0.5575,0.567165929
105,50,5,9,0.5575,0.578840244
108,100,0.1,3,0.5525,0.599089317
123,100,5,9,0.5525,0.591960678
61,5,0.5,6,0.5425,0.600881977
68,5,1,9,0.5425,0.581123088
90,50,0.1,3,0.54,0.606818105
12,0.1,0.1,9,0.5375,0.51610532
103,50,0.5,9,0.5375,0.58899106
125,100,50,9,0.535,0.540139532
6,0.1,0.1,6,0.53,0.496564225
106,50,10,9,0.53,0.517240914
55,5,0.5,3,0.5275,0.538061776
84,10,0.1,9,0.5275,0.601962397
122,100,1,9,0.5275,0.583500784
124,100,10,9,0.525,0.539941082
102,50,0.1,9,0.5225,0.595560216
120,100,0.1,9,0.52,0.546478607
121,100,0.5,9,0.52,0.588072882
74,10,1,3,0.5175,0.548904558
111,100,5,3,0.5175,0.537440362
87,10,5,9,0.51,0.520529203
104,50,1,9,0.5075,0.542901095
18,0.5,0.1,3,0.5025,0.536324448
109,100,0.5,3,0.5025,0.581751003
110,100,1,3,0.5025,0.586438293
80,10,1,6,0.5,0.60419679
0,0.1,0.1,3,0.495,0.485624941
26,0.5,1,6,0.4925,0.48571824
49,1,0.5,9,0.4925,0.490164374
67,5,0.5,9,0.49,0.539561077
94,50,10,3,0.49,0.555882076
100,50,10,6,0.485,0.553764501
107,50,50,9,0.4825,0.504573912
81,10,5,6,0.4725,0.483900729
85,10,0.5,9,0.4725,0.533444066
69,5,5,9,0.47,0.453255445
92,50,1,3,0.465,0.571845028
50,1,1,9,0.455,0.460680864
119,100,50,6,0.455,0.533733973
8,0.1,1,6,0.4525,0.408614673
31,0.5,0.5,9,0.4525,0.435598869
56,5,1,3,0.45,0.50135277
37,1,0.5,3,0.445,0.456554296
62,5,1,6,0.445,0.516250044
44,1,1,6,0.4425,0.439593145
1,0.1,0.5,3,0.435,0.39227262
43,1,0.5,6,0.4275,0.462534682
19,0.5,0.5,3,0.425,0.441585462
13,0.1,0.5,9,0.42,0.395432093
70,5,10,9,0.42,0.425753546
7,0.1,0.5,6,0.4175,0.396135034
93,50,5,3,0.4175,0.480190628
25,0.5,0.5,6,0.415,0.41952511
101,50,50,6,0.415,0.508403039
112,100,10,3,0.4125,0.517540283
32,0.5,1,9,0.4075,0.39747788
64,5,10,6,0.405,0.432464052
82,10,10,6,0.4,0.419095985
20,0.5,1,3,0.3725,0.370720345
38,1,1,3,0.3725,0.390086723
51,1,5,9,0.3575,0.374337777
14,0.1,1,9,0.3175,0.324865305
89,10,50,9,0.3175,0.361736339
2,0.1,1,3,0.3,0.276095428
57,5,5,3,0.3,0.359609174
63,5,5,6,0.2975,0.38591654
88,10,10,9,0.2975,0.42719966
9,0.1,5,6,0.2875,0.250428195
75,10,5,3,0.2875,0.373313488
15,0.1,5,9,0.2825,0.238695908
113,100,50,3,0.2825,0.300941778
83,10,50,6,0.28,0.343270287
27,0.5,5,6,0.2725,0.298444095
45,1,5,6,0.2725,0.311827428
95,50,50,3,0.2725,0.278087083
33,0.5,5,9,0.27,0.325168836
34,0.5,10,9,0.27,0.295636395
39,1,5,3,0.2575,0.280446285
21,0.5,5,3,0.255,0.232933042
76,10,10,3,0.255,0.314017393
46,1,10,6,0.2525,0.2371297
3,0.1,5,3,0.25,0.215383308
52,1,10,9,0.235,0.264877315
22,0.5,10,3,0.23,0.208210066
58,5,10,3,0.23,0.284893214
65,5,50,6,0.2275,0.236967313
10,0.1,10,6,0.225,0.200914558
71,5,50,9,0.225,0.280247025
16,0.1,10,9,0.2225,0.209150939
77,10,50,3,0.2225,0.207146351
28,0.5,10,6,0.215,0.203659945
4,0.1,10,3,0.2075,0.166828373
40,1,10,3,0.205,0.225479582
59,5,50,3,0.1925,0.185876965
11,0.1,50,6,0.1825,0.125584762
53,1,50,9,0.1825,0.174699239
29,0.5,50,6,0.1725,0.156195402
5,0.1,50,3,0.165,0.118455856
17,0.1,50,9,0.1625,0.128859308
35,0.5,50,9,0.1625,0.142575421
41,1,50,3,0.1575,0.131217741
47,1,50,6,0.155,0.121649677
23,0.5,50,3,0.1475,0.105842538
