,lamda,beta,p,acc_coI,nmi_coI
0,0.1,0.1,3,0.784037558685446,0.8131978005448846
1,0.1,0.5,3,0.8075117370892019,0.8292583711078285
2,0.1,1.0,3,0.7699530516431925,0.8206428983803821
3,0.1,5.0,3,0.7183098591549296,0.7996911676811352
4,0.1,10.0,3,0.7887323943661971,0.8307512735363719
5,0.1,50.0,3,0.8309859154929577,0.8360936458050571
6,0.1,0.1,6,0.8169014084507042,0.8417664264275273
7,0.1,0.5,6,0.8028169014084507,0.837584455311664
8,0.1,1.0,6,0.8779342723004695,0.8882073348540833
9,0.1,5.0,6,0.8591549295774648,0.8687823756310082
10,0.1,10.0,6,0.7652582159624414,0.8073556185643276
11,0.1,50.0,6,0.7887323943661971,0.8193209760352431
12,0.1,0.1,9,0.7136150234741784,0.7733989840668686
13,0.1,0.5,9,0.7793427230046949,0.8394080130021018
14,0.1,1.0,9,0.8403755868544601,0.8648992663259986
15,0.1,5.0,9,0.9154929577464789,0.8944612236463522
16,0.1,10.0,9,0.8028169014084507,0.8407863718466642
17,0.1,50.0,9,0.8685446009389671,0.8759330208258637
18,0.5,0.1,3,0.8826291079812206,0.8693015111461851
19,0.5,0.5,3,0.7230046948356808,0.8230097148414715
20,0.5,1.0,3,0.7511737089201878,0.7955816402879549
21,0.5,5.0,3,0.7136150234741784,0.8010665262900513
22,0.5,10.0,3,0.7887323943661971,0.8338930385763247
23,0.5,50.0,3,0.8450704225352113,0.8567660073359429
24,0.5,0.1,6,0.784037558685446,0.8126194365153281
25,0.5,0.5,6,0.8450704225352113,0.8914343072899972
26,0.5,1.0,6,0.8309859154929577,0.860012713532431
27,0.5,5.0,6,0.8403755868544601,0.8560602318212869
28,0.5,10.0,6,0.8356807511737089,0.8515348188581772
29,0.5,50.0,6,0.7370892018779343,0.8173221333356603
30,0.5,0.1,9,0.6525821596244131,0.7812574437080259
31,0.5,0.5,9,0.7511737089201878,0.7926449917656518
32,0.5,1.0,9,0.7230046948356808,0.7880590652643579
33,0.5,5.0,9,0.8497652582159625,0.8534016169993464
34,0.5,10.0,9,0.8356807511737089,0.8866388140271754
35,0.5,50.0,9,0.8779342723004695,0.8590817517479098
36,1.0,0.1,3,0.7746478873239436,0.8360289451187987
37,1.0,0.5,3,0.8215962441314554,0.8741576918180619
38,1.0,1.0,3,0.8309859154929577,0.8530619265207229
39,1.0,5.0,3,0.8028169014084507,0.8505802352147467
40,1.0,10.0,3,0.8075117370892019,0.8221779076445269
41,1.0,50.0,3,0.7981220657276995,0.8259242588541789
