,lamda,beta,p,acc_sy_C,nmi_sy_C
45,1,5,6,0.491666667,0.646617733
70,5,10,9,0.491666667,0.608779876
84,10,0.1,9,0.491666667,0.62758304
87,10,5,9,0.491666667,0.638680632
118,100,10,6,0.488888889,0.655950344
48,1,0.1,9,0.483333333,0.626518479
66,5,0.1,9,0.480555556,0.623612707
81,10,5,6,0.480555556,0.625197041
0,0.1,0.1,3,0.477777778,0.598678017
31,0.5,0.5,9,0.475,0.606543091
38,1,1,3,0.475,0.602712841
85,10,0.5,9,0.475,0.604028614
97,50,0.5,6,0.475,0.630456369
99,50,5,6,0.475,0.655316988
56,5,1,3,0.472222222,0.596420806
125,100,50,9,0.472222222,0.638214261
79,10,0.5,6,0.469444444,0.635841481
100,50,10,6,0.469444444,0.646395752
49,1,0.5,9,0.466666667,0.633990528
60,5,0.1,6,0.466666667,0.623350409
7,0.1,0.5,6,0.463888889,0.589620085
50,1,1,9,0.463888889,0.595918083
61,5,0.5,6,0.463888889,0.649363651
74,10,1,3,0.463888889,0.630934812
119,100,50,6,0.463888889,0.638446371
43,1,0.5,6,0.461111111,0.63367041
86,10,1,9,0.461111111,0.613474074
101,50,50,6,0.461111111,0.594522025
1,0.1,0.5,3,0.458333333,0.567677088
25,0.5,0.5,6,0.458333333,0.617376759
80,10,1,6,0.458333333,0.634682663
88,10,10,9,0.458333333,0.617558493
102,50,0.1,9,0.458333333,0.59181474
105,50,5,9,0.458333333,0.611806695
44,1,1,6,0.455555556,0.583570794
111,100,5,3,0.455555556,0.625716264
30,0.5,0.1,9,0.452777778,0.632769845
52,1,10,9,0.452777778,0.59881261
68,5,1,9,0.452777778,0.620447944
71,5,50,9,0.452777778,0.582598111
96,50,0.1,6,0.452777778,0.602615262
103,50,0.5,9,0.452777778,0.594490576
108,100,0.1,3,0.452777778,0.626490722
122,100,1,9,0.452777778,0.596943887
12,0.1,0.1,9,0.45,0.604573981
14,0.1,1,9,0.45,0.582729427
32,0.5,1,9,0.45,0.58493019
35,0.5,50,9,0.45,0.543136215
62,5,1,6,0.45,0.654046181
73,10,0.5,3,0.45,0.630702936
78,10,0.1,6,0.45,0.619074348
104,50,1,9,0.45,0.590443882
114,100,0.1,6,0.45,0.596898155
121,100,0.5,9,0.45,0.575764459
42,1,0.1,6,0.447222222,0.654475343
98,50,1,6,0.447222222,0.601428882
115,100,0.5,6,0.447222222,0.60626475
6,0.1,0.1,6,0.444444444,0.598548976
13,0.1,0.5,9,0.444444444,0.583578354
18,0.5,0.1,3,0.444444444,0.613397823
51,1,5,9,0.444444444,0.573480256
54,5,0.1,3,0.444444444,0.64707448
63,5,5,6,0.444444444,0.589861215
69,5,5,9,0.444444444,0.59851263
72,10,0.1,3,0.444444444,0.64707448
116,100,1,6,0.444444444,0.5942527
123,100,5,9,0.444444444,0.581579063
67,5,0.5,9,0.441666667,0.5998737
91,50,0.5,3,0.441666667,0.621300142
120,100,0.1,9,0.441666667,0.575029903
93,50,5,3,0.438888889,0.592310883
24,0.5,0.1,6,0.436111111,0.619138018
33,0.5,5,9,0.436111111,0.558988426
92,50,1,3,0.436111111,0.617756876
110,100,1,3,0.430555556,0.629855147
117,100,5,6,0.430555556,0.599669031
9,0.1,5,6,0.427777778,0.540158934
64,5,10,6,0.427777778,0.570253655
106,50,10,9,0.427777778,0.607701833
15,0.1,5,9,0.425,0.560470626
90,50,0.1,3,0.425,0.615826703
28,0.5,10,6,0.422222222,0.548788921
112,100,10,3,0.422222222,0.619367665
8,0.1,1,6,0.419444444,0.54758454
26,0.5,1,6,0.419444444,0.60552143
36,1,0.1,3,0.419444444,0.62315587
46,1,10,6,0.419444444,0.566012466
53,1,50,9,0.419444444,0.523122286
107,50,50,9,0.419444444,0.570239686
124,100,10,9,0.419444444,0.58402882
16,0.1,10,9,0.416666667,0.563486318
27,0.5,5,6,0.416666667,0.555321135
55,5,0.5,3,0.416666667,0.603255236
57,5,5,3,0.416666667,0.549037722
34,0.5,10,9,0.413888889,0.582710443
37,1,0.5,3,0.413888889,0.588952723
22,0.5,10,3,0.411111111,0.514958443
82,10,10,6,0.411111111,0.577088345
113,100,50,3,0.411111111,0.556721013
2,0.1,1,3,0.408333333,0.543058293
83,10,50,6,0.408333333,0.513371992
109,100,0.5,3,0.408333333,0.609681591
10,0.1,10,6,0.405555556,0.509107595
20,0.5,1,3,0.405555556,0.544788044
3,0.1,5,3,0.4,0.503180434
17,0.1,50,9,0.4,0.494166856
19,0.5,0.5,3,0.4,0.536110971
65,5,50,6,0.4,0.53043991
29,0.5,50,6,0.397222222,0.493244601
76,10,10,3,0.397222222,0.532610085
89,10,50,9,0.397222222,0.54476601
94,50,10,3,0.397222222,0.592564128
58,5,10,3,0.394444444,0.539823572
47,1,50,6,0.388888889,0.550991506
40,1,10,3,0.380555556,0.522259808
59,5,50,3,0.380555556,0.488809694
75,10,5,3,0.361111111,0.538853598
77,10,50,3,0.361111111,0.451945132
39,1,5,3,0.358333333,0.474285381
11,0.1,50,6,0.355555556,0.460145363
21,0.5,5,3,0.355555556,0.492097635
41,1,50,3,0.355555556,0.473432939
95,50,50,3,0.355555556,0.51324467
5,0.1,50,3,0.344444444,0.429051604
23,0.5,50,3,0.344444444,0.472707233
4,0.1,10,3,0.333333333,0.472817983
