,lamda,beta,p,acc_inL,nmi_inL
0,0.1,0.1,3,0.8028169014084507,0.8540422498923186
1,0.1,0.5,3,0.9014084507042254,0.8908070139302587
2,0.1,1.0,3,0.8028169014084507,0.8488093456670156
3,0.1,5.0,3,0.8215962441314554,0.90030647731895
4,0.1,10.0,3,0.7230046948356808,0.8045164151686606
5,0.1,50.0,3,0.8075117370892019,0.8408496799929618
6,0.1,0.1,6,0.8826291079812206,0.8991521420186674
7,0.1,0.5,6,0.784037558685446,0.845338088796986
8,0.1,1.0,6,0.8450704225352113,0.8329209136170387
9,0.1,5.0,6,0.755868544600939,0.8267515729131013
10,0.1,10.0,6,0.812206572769953,0.8285658872157109
11,0.1,50.0,6,0.784037558685446,0.8294769058810937
12,0.1,0.1,9,0.8028169014084507,0.8625198164288682
13,0.1,0.5,9,0.7887323943661971,0.8239923030762871
14,0.1,1.0,9,0.7230046948356808,0.7975293349345215
15,0.1,5.0,9,0.6807511737089202,0.8224673728971015
16,0.1,10.0,9,0.9154929577464789,0.8957099797242375
17,0.1,50.0,9,0.7652582159624414,0.8082818621165684
18,0.5,0.1,3,0.7887323943661971,0.7937674931678163
19,0.5,0.5,3,0.8779342723004695,0.8609247364193325
20,0.5,1.0,3,0.8826291079812206,0.8721307784320121
21,0.5,5.0,3,0.8544600938967136,0.8633963242953492
22,0.5,10.0,3,0.7746478873239436,0.8384785918577803
23,0.5,50.0,3,0.7746478873239436,0.827994167210133
24,0.5,0.1,6,0.8169014084507042,0.8541778904382799
25,0.5,0.5,6,0.7464788732394366,0.8266438510416355
26,0.5,1.0,6,0.8215962441314554,0.8278279287231578
27,0.5,5.0,6,0.8309859154929577,0.9025304370764416
28,0.5,10.0,6,0.7605633802816901,0.837272018258843
29,0.5,50.0,6,0.8309859154929577,0.8343729974275054
30,0.5,0.1,9,0.7605633802816901,0.8312783795736103
31,0.5,0.5,9,0.8028169014084507,0.8312098754628379
32,0.5,1.0,9,0.8450704225352113,0.8534156630787205
33,0.5,5.0,9,0.7981220657276995,0.8082561812480754
34,0.5,10.0,9,0.8450704225352113,0.8807519845905413
35,0.5,50.0,9,0.7887323943661971,0.8331666309805129
36,1.0,0.1,3,0.8169014084507042,0.8691718934114857
37,1.0,0.5,3,0.8544600938967136,0.8528260719104659
