,lamda,beta,p,acc_inL,nmi_inL
0,0.1,0.1,3,0.42434782608695654,0.6207007775229848
1,0.1,0.5,3,0.4017391304347826,0.6100093944308332
2,0.1,1.0,3,0.38608695652173913,0.5721625689762396
3,0.1,5.0,3,0.4,0.5934988834111576
4,0.1,10.0,3,0.43478260869565216,0.6306617351942396
5,0.1,50.0,3,0.38608695652173913,0.5587910278859592
6,0.1,0.1,6,0.44,0.6528479221857503
7,0.1,0.5,6,0.4156521739130435,0.6397602046610342
8,0.1,1.0,6,0.4678260869565217,0.6615564880525859
9,0.1,5.0,6,0.45217391304347826,0.6423444025070326
10,0.1,10.0,6,0.41739130434782606,0.6124314246931681
11,0.1,50.0,6,0.4052173913043478,0.5758377249640976
12,0.1,0.1,9,0.42434782608695654,0.6458326127368775
13,0.1,0.5,9,0.4365217391304348,0.6653550669255534
14,0.1,1.0,9,0.44869565217391305,0.6493534689469672
15,0.1,5.0,9,0.43478260869565216,0.6580808581115737
16,0.1,10.0,9,0.4295652173913043,0.6456250857941764
17,0.1,50.0,9,0.4191304347826087,0.6313125812742488
18,0.5,0.1,3,0.42434782608695654,0.6716829601026647
19,0.5,0.5,3,0.44869565217391305,0.6767452468167834
20,0.5,1.0,3,0.4782608695652174,0.676094131553568
21,0.5,5.0,3,0.45217391304347826,0.6437893097043005
22,0.5,10.0,3,0.48695652173913045,0.6840017053148214
23,0.5,50.0,3,0.4539130434782609,0.6523299994612236
24,0.5,0.1,6,0.46260869565217394,0.7125806081819394
25,0.5,0.5,6,0.44521739130434784,0.6619687894406583
26,0.5,1.0,6,0.46608695652173915,0.6944712906373233
27,0.5,5.0,6,0.5217391304347826,0.7154367126125185
28,0.5,10.0,6,0.4678260869565217,0.6744133428058035
29,0.5,50.0,6,0.5495652173913044,0.7207502634361884
30,0.5,0.1,9,0.4295652173913043,0.6717509663958173
31,0.5,0.5,9,0.43478260869565216,0.6729673189126326
32,0.5,1.0,9,0.4295652173913043,0.6593163422040772
33,0.5,5.0,9,0.4765217391304348,0.6883348822996175
34,0.5,10.0,9,0.4434782608695652,0.6670653363004033
35,0.5,50.0,9,0.4608695652173913,0.677288326781798
36,1.0,0.1,3,0.4591304347826087,0.6645256000948817
37,1.0,0.5,3,0.44521739130434784,0.6770919444135152
38,1.0,1.0,3,0.43826086956521737,0.6900783807120721
39,1.0,5.0,3,0.4643478260869565,0.6869687750372626
40,1.0,10.0,3,0.47130434782608693,0.6843642868079021
41,1.0,50.0,3,0.43826086956521737,0.6479540865247698
42,1.0,0.1,6,0.4434782608695652,0.6990725075562169
43,1.0,0.5,6,0.4678260869565217,0.7057486826209537
44,1.0,1.0,6,0.4852173913043478,0.7170121927775799
45,1.0,5.0,6,0.5408695652173913,0.7541612999814791
46,1.0,10.0,6,0.5008695652173913,0.7122695123177347
47,1.0,50.0,6,0.4504347826086956,0.669321353796903
48,1.0,0.1,9,0.47304347826086957,0.6985655145125391
49,1.0,0.5,9,0.4573913043478261,0.689905064673745
50,1.0,1.0,9,0.47304347826086957,0.6874617812845125
51,1.0,5.0,9,0.45565217391304347,0.6745367234874313
52,1.0,10.0,9,0.47304347826086957,0.7047584307106539
53,1.0,50.0,9,0.49391304347826087,0.7224659492029994
54,5.0,0.1,3,0.48,0.7111450253536452
55,5.0,0.5,3,0.46260869565217394,0.704659787308311
56,5.0,1.0,3,0.47304347826086957,0.7172514489615972
57,5.0,5.0,3,0.5147826086956522,0.7172971038532177
58,5.0,10.0,3,0.577391304347826,0.7658342488167205
59,5.0,50.0,3,0.49043478260869566,0.693152548518524
60,5.0,0.1,6,0.5078260869565218,0.7405777409789961
61,5.0,0.5,6,0.4573913043478261,0.7121358029639328
62,5.0,1.0,6,0.45565217391304347,0.7164792621254208
63,5.0,5.0,6,0.5634782608695652,0.773842049798511
64,5.0,10.0,6,0.4782608695652174,0.7386785158564029
65,5.0,50.0,6,0.6034782608695652,0.7728910143466252
66,5.0,0.1,9,0.4365217391304348,0.6827102106601287
67,5.0,0.5,9,0.44521739130434784,0.6899320129551931
68,5.0,1.0,9,0.44,0.6595960476155611
69,5.0,5.0,9,0.4817391304347826,0.7067915505695417
70,5.0,10.0,9,0.48,0.719486328502687
71,5.0,50.0,9,0.5217391304347826,0.7111007689756937
72,10.0,0.1,3,0.46608695652173915,0.7236813915875036
73,10.0,0.5,3,0.46956521739130436,0.7124752347135797
74,10.0,1.0,3,0.5113043478260869,0.7356384575760345
75,10.0,5.0,3,0.5443478260869565,0.7655132693418553
76,10.0,10.0,3,0.5443478260869565,0.7453983075700913
77,10.0,50.0,3,0.5113043478260869,0.7248918913711689
78,10.0,0.1,6,0.5095652173913043,0.7355712110551437
79,10.0,0.5,6,0.44869565217391305,0.6922213258110964
80,10.0,1.0,6,0.46956521739130436,0.7091005005061176
81,10.0,5.0,6,0.5565217391304348,0.7453223857585002
82,10.0,10.0,6,0.551304347826087,0.772040765120516
83,10.0,50.0,6,0.56,0.7563799914156059
84,10.0,0.1,9,0.4504347826086956,0.6753911415010938
85,10.0,0.5,9,0.43478260869565216,0.6733003956119118
86,10.0,1.0,9,0.4365217391304348,0.6767016846957453
87,10.0,5.0,9,0.4765217391304348,0.6929102644017843
88,10.0,10.0,9,0.5026086956521739,0.7107701093140283
89,10.0,50.0,9,0.4973913043478261,0.7363512018363797
90,50.0,0.1,3,0.5269565217391304,0.772537157968113
91,50.0,0.5,3,0.5095652173913043,0.7818091719779068
92,50.0,1.0,3,0.47130434782608693,0.7338151531679096
93,50.0,5.0,3,0.5321739130434783,0.7743651766922003
94,50.0,10.0,3,0.6086956521739131,0.7831925127233889
95,50.0,50.0,3,0.5895652173913043,0.7885543686258414
96,50.0,0.1,6,0.5391304347826087,0.7623854654346939
97,50.0,0.5,6,0.5130434782608696,0.7528297095886238
98,50.0,1.0,6,0.5373913043478261,0.7652427721103238
99,50.0,5.0,6,0.5060869565217392,0.7555252296361837
100,50.0,10.0,6,0.5182608695652174,0.75204192221646
101,50.0,50.0,6,0.5356521739130434,0.7746357171732653
102,50.0,0.1,9,0.4782608695652174,0.7019984343869113
103,50.0,0.5,9,0.4834782608695652,0.7004546386435857
104,50.0,1.0,9,0.4573913043478261,0.7113133028016807
105,50.0,5.0,9,0.48,0.7030548103510931
106,50.0,10.0,9,0.4852173913043478,0.7369667858486216
107,50.0,50.0,9,0.5147826086956522,0.7333656174904608
108,100.0,0.1,3,0.6260869565217392,0.8256385888211991
109,100.0,0.5,3,0.5495652173913044,0.7720836352460905
110,100.0,1.0,3,0.5547826086956522,0.7860007749593839
111,100.0,5.0,3,0.5147826086956522,0.774010006845049
112,100.0,10.0,3,0.5443478260869565,0.7603763307173734
113,100.0,50.0,3,0.6226086956521739,0.7916180463164155
114,100.0,0.1,6,0.5408695652173913,0.7801656413632996
115,100.0,0.5,6,0.5478260869565217,0.7507891536378226
116,100.0,1.0,6,0.5252173913043479,0.7560815045544387
117,100.0,5.0,6,0.5669565217391305,0.7611350925890974
118,100.0,10.0,6,0.568695652173913,0.7763327081201062
119,100.0,50.0,6,0.5965217391304348,0.7961187027257011
120,100.0,0.1,9,0.49391304347826087,0.7071197267701376
121,100.0,0.5,9,0.4643478260869565,0.7019815345134255
122,100.0,1.0,9,0.5095652173913043,0.7250189028991733
123,100.0,5.0,9,0.4765217391304348,0.7316790303412375
124,100.0,10.0,9,0.4956521739130435,0.7104125318596531
125,100.0,50.0,9,0.528695652173913,0.7208713673209469
