,lamda,beta,p,acc_inL,nmi_inL
0,0.1,0.1,3,0.6275,0.6190267899855922
1,0.1,0.5,3,0.4975,0.5171271788018297
2,0.1,1.0,3,0.57,0.5435881401281495
3,0.1,5.0,3,0.45,0.44205707488367135
4,0.1,10.0,3,0.43,0.4012042883646518
5,0.1,50.0,3,0.4425,0.399480926779686
6,0.1,0.1,6,0.5975,0.6335039886545295
7,0.1,0.5,6,0.5775,0.5674535592218012
8,0.1,1.0,6,0.495,0.5065003538237249
9,0.1,5.0,6,0.5375,0.5029418005933659
10,0.1,10.0,6,0.5525,0.5221403703591527
11,0.1,50.0,6,0.4625,0.41032028954604666
12,0.1,0.1,9,0.6425,0.6432148317174101
13,0.1,0.5,9,0.6,0.5558330993337426
14,0.1,1.0,9,0.58,0.5369338980187879
15,0.1,5.0,9,0.55,0.5285986283011744
16,0.1,10.0,9,0.5175,0.47835183385360175
17,0.1,50.0,9,0.3925,0.38055025652835234
18,0.5,0.1,3,0.6075,0.6190684999182698
19,0.5,0.5,3,0.6375,0.6224009109116103
20,0.5,1.0,3,0.565,0.5538254020389273
21,0.5,5.0,3,0.5375,0.5463936536060586
22,0.5,10.0,3,0.4575,0.4500439228610223
23,0.5,50.0,3,0.445,0.437024358262498
24,0.5,0.1,6,0.635,0.638830295424343
25,0.5,0.5,6,0.655,0.6521719444614151
26,0.5,1.0,6,0.5725,0.5413424673720588
27,0.5,5.0,6,0.595,0.5530305756263489
28,0.5,10.0,6,0.4525,0.49673041777535537
29,0.5,50.0,6,0.3825,0.38993741581737895
30,0.5,0.1,9,0.62,0.6313743804020568
31,0.5,0.5,9,0.6375,0.6297179743107042
32,0.5,1.0,9,0.545,0.5715225407447285
33,0.5,5.0,9,0.5375,0.5406994164282222
34,0.5,10.0,9,0.515,0.5062244510733699
35,0.5,50.0,9,0.485,0.49314889417419866
36,1.0,0.1,3,0.6025,0.6233909221428182
37,1.0,0.5,3,0.555,0.5956029907813454
38,1.0,1.0,3,0.645,0.6078305446965174
39,1.0,5.0,3,0.485,0.5336117386625582
40,1.0,10.0,3,0.4625,0.49897401037846245
41,1.0,50.0,3,0.465,0.48819517157286796
42,1.0,0.1,6,0.6475,0.6478081545872348
43,1.0,0.5,6,0.6125,0.6053068142743087
44,1.0,1.0,6,0.6325,0.6221910141733632
45,1.0,5.0,6,0.5525,0.5152015473710335
46,1.0,10.0,6,0.5675,0.5360734626567282
47,1.0,50.0,6,0.4675,0.47966180521580865
48,1.0,0.1,9,0.655,0.653342776972587
49,1.0,0.5,9,0.6325,0.6338222360251877
50,1.0,1.0,9,0.61,0.6039347444628752
51,1.0,5.0,9,0.5575,0.5500193865262449
52,1.0,10.0,9,0.5675,0.5725068828459423
53,1.0,50.0,9,0.4975,0.4826159117769037
54,5.0,0.1,3,0.6075,0.6352460717710652
55,5.0,0.5,3,0.605,0.6410523093694619
56,5.0,1.0,3,0.6525,0.6336848419382527
57,5.0,5.0,3,0.525,0.5455285031892049
58,5.0,10.0,3,0.5375,0.5446625057120671
59,5.0,50.0,3,0.4875,0.484749838658972
60,5.0,0.1,6,0.5725,0.6110083887305097
61,5.0,0.5,6,0.5875,0.6148396027126002
62,5.0,1.0,6,0.5725,0.6053779606154378
63,5.0,5.0,6,0.5475,0.5888781703606373
64,5.0,10.0,6,0.5425,0.5585916615876978
65,5.0,50.0,6,0.41,0.4488109750921457
66,5.0,0.1,9,0.56,0.6043356497374601
67,5.0,0.5,9,0.5525,0.6038387226227626
68,5.0,1.0,9,0.5475,0.5950771487086407
69,5.0,5.0,9,0.49,0.5528009277979653
70,5.0,10.0,9,0.545,0.5330414805326325
71,5.0,50.0,9,0.475,0.49561793167078494
72,10.0,0.1,3,0.58,0.6299191230281022
73,10.0,0.5,3,0.5875,0.6208945388479642
74,10.0,1.0,3,0.5475,0.5983311802222016
75,10.0,5.0,3,0.47,0.5321902121408848
76,10.0,10.0,3,0.475,0.5076419068791211
77,10.0,50.0,3,0.415,0.44929913745733496
78,10.0,0.1,6,0.5825,0.6043901985795574
79,10.0,0.5,6,0.6375,0.617681860172266
80,10.0,1.0,6,0.5825,0.6123040433324918
81,10.0,5.0,6,0.6775,0.6069250361434415
82,10.0,10.0,6,0.555,0.5995847331153955
83,10.0,50.0,6,0.3875,0.47812011219622547
84,10.0,0.1,9,0.54,0.5917276367901299
85,10.0,0.5,9,0.5425,0.6003338565206859
86,10.0,1.0,9,0.545,0.5894679743326904
87,10.0,5.0,9,0.5375,0.6107404333006781
88,10.0,10.0,9,0.605,0.586876441931503
89,10.0,50.0,9,0.5125,0.505099286096694
90,50.0,0.1,3,0.5725,0.6236813833483453
91,50.0,0.5,3,0.565,0.6072971302828242
92,50.0,1.0,3,0.515,0.5747177836004553
93,50.0,5.0,3,0.55,0.6176587213184539
94,50.0,10.0,3,0.5475,0.6047706772928357
95,50.0,50.0,3,0.525,0.5603263820995792
96,50.0,0.1,6,0.58,0.609922519091777
97,50.0,0.5,6,0.5725,0.5875108868080396
98,50.0,1.0,6,0.5825,0.6007739770921366
99,50.0,5.0,6,0.575,0.5912367914544908
100,50.0,10.0,6,0.535,0.5744513427053631
101,50.0,50.0,6,0.6,0.6072993017398982
102,50.0,0.1,9,0.5275,0.5536477313583884
103,50.0,0.5,9,0.535,0.5917273333888736
104,50.0,1.0,9,0.5175,0.5533124430645913
105,50.0,5.0,9,0.5225,0.594246343991212
106,50.0,10.0,9,0.535,0.5849896843416696
107,50.0,50.0,9,0.5225,0.5274509142361695
108,100.0,0.1,3,0.575,0.6181484191408653
109,100.0,0.5,3,0.58,0.6225048685400453
110,100.0,1.0,3,0.53,0.5890421057287855
111,100.0,5.0,3,0.57,0.5883861985112364
112,100.0,10.0,3,0.5425,0.5788229500701236
113,100.0,50.0,3,0.55,0.5591647325394039
114,100.0,0.1,6,0.545,0.5565173247030485
115,100.0,0.5,6,0.5775,0.5987084886346709
116,100.0,1.0,6,0.58,0.6034899549847105
117,100.0,5.0,6,0.5775,0.600991399057468
118,100.0,10.0,6,0.5775,0.5938662500935881
119,100.0,50.0,6,0.6125,0.5789975522612525
120,100.0,0.1,9,0.55,0.5980561254107705
121,100.0,0.5,9,0.5075,0.5485115916229814
