,lamda,beta,p,acc_sy_C,nmi_sy_C
0,0.1,0.1,3,0.6125,0.6050717155914045
1,0.1,0.5,3,0.5425,0.5403709109019639
2,0.1,1.0,3,0.5725,0.5467469015049726
3,0.1,5.0,3,0.4975,0.5163182573444424
4,0.1,10.0,3,0.4675,0.47249374273474987
5,0.1,50.0,3,0.475,0.47512190066416154
6,0.1,0.1,6,0.6175,0.6284815290043662
7,0.1,0.5,6,0.5175,0.5394150532878771
8,0.1,1.0,6,0.5725,0.5748761876640744
9,0.1,5.0,6,0.5625,0.5384507240650545
10,0.1,10.0,6,0.5575,0.5467725247676268
11,0.1,50.0,6,0.4325,0.45342279199097335
12,0.1,0.1,9,0.63,0.6219555663827019
13,0.1,0.5,9,0.6075,0.6069134087676702
14,0.1,1.0,9,0.5875,0.5853090704364092
15,0.1,5.0,9,0.5775,0.5750665314900587
16,0.1,10.0,9,0.5425,0.5326618302503142
17,0.1,50.0,9,0.5375,0.5247468754873351
18,0.5,0.1,3,0.6125,0.6329286059681207
19,0.5,0.5,3,0.5875,0.6022075529664822
20,0.5,1.0,3,0.585,0.580588667126721
21,0.5,5.0,3,0.4725,0.5349630312086369
22,0.5,10.0,3,0.5175,0.5615641311032947
23,0.5,50.0,3,0.505,0.5463093761702535
24,0.5,0.1,6,0.645,0.6241474194433997
25,0.5,0.5,6,0.625,0.6454268840928942
26,0.5,1.0,6,0.6375,0.6325426476178835
27,0.5,5.0,6,0.52,0.5857454970314581
28,0.5,10.0,6,0.5275,0.5526942720340952
29,0.5,50.0,6,0.5925,0.5956668635463087
30,0.5,0.1,9,0.6275,0.6401575337635089
31,0.5,0.5,9,0.6,0.5963728983720339
32,0.5,1.0,9,0.65,0.6648880805056271
33,0.5,5.0,9,0.575,0.549333338674705
34,0.5,10.0,9,0.6075,0.5706968011864342
35,0.5,50.0,9,0.52,0.5271617966575557
36,1.0,0.1,3,0.6075,0.6583693099349639
37,1.0,0.5,3,0.575,0.6017689064977836
38,1.0,1.0,3,0.61,0.6005392568248538
39,1.0,5.0,3,0.59,0.5726940923853624
40,1.0,10.0,3,0.4575,0.49157862322070117
41,1.0,50.0,3,0.4475,0.47562842382189796
42,1.0,0.1,6,0.6575,0.6590453717376094
43,1.0,0.5,6,0.595,0.6103469773446909
44,1.0,1.0,6,0.5625,0.6264139245698362
45,1.0,5.0,6,0.59,0.5998687598707642
46,1.0,10.0,6,0.6,0.58987351284847
47,1.0,50.0,6,0.56,0.5466527653552036
48,1.0,0.1,9,0.5975,0.6023729890524797
49,1.0,0.5,9,0.615,0.6034310871421839
50,1.0,1.0,9,0.605,0.5858168093308244
51,1.0,5.0,9,0.58,0.5881283134410523
52,1.0,10.0,9,0.575,0.5652734300161673
53,1.0,50.0,9,0.5675,0.5200817757609402
54,5.0,0.1,3,0.605,0.635663522478974
55,5.0,0.5,3,0.61,0.6342385304818581
56,5.0,1.0,3,0.5975,0.6048808100807893
57,5.0,5.0,3,0.5025,0.5676300698189259
58,5.0,10.0,3,0.5675,0.584302082513485
59,5.0,50.0,3,0.5225,0.5446401670434186
60,5.0,0.1,6,0.5725,0.6161011604214998
61,5.0,0.5,6,0.6425,0.6243093827559056
62,5.0,1.0,6,0.645,0.6344364099775858
63,5.0,5.0,6,0.62,0.6120815239622414
64,5.0,10.0,6,0.5325,0.5585187104851604
65,5.0,50.0,6,0.5575,0.5819876633489787
66,5.0,0.1,9,0.56,0.609441003899388
67,5.0,0.5,9,0.565,0.6144467979649969
68,5.0,1.0,9,0.55,0.6027029042052476
69,5.0,5.0,9,0.6025,0.5792515797778193
70,5.0,10.0,9,0.515,0.5338301069635665
71,5.0,50.0,9,0.455,0.46595674743270893
72,10.0,0.1,3,0.58,0.622679195231599
73,10.0,0.5,3,0.57,0.6172011291964624
74,10.0,1.0,3,0.585,0.6326749587353004
75,10.0,5.0,3,0.635,0.6393256112710732
76,10.0,10.0,3,0.52,0.5269390097074755
77,10.0,50.0,3,0.515,0.5693596445954383
78,10.0,0.1,6,0.5725,0.604477986607269
79,10.0,0.5,6,0.585,0.5995824815879176
80,10.0,1.0,6,0.5775,0.6148605619716228
81,10.0,5.0,6,0.615,0.5945842905701787
82,10.0,10.0,6,0.5775,0.5873525218389711
83,10.0,50.0,6,0.63,0.5981253885012303
84,10.0,0.1,9,0.5375,0.5896303980197313
85,10.0,0.5,9,0.5475,0.6037556182604631
86,10.0,1.0,9,0.545,0.5993925671905646
87,10.0,5.0,9,0.57,0.5646206741777737
88,10.0,10.0,9,0.6075,0.5689652728565893
89,10.0,50.0,9,0.495,0.5533942832241354
90,50.0,0.1,3,0.5575,0.6045875898133398
91,50.0,0.5,3,0.56,0.6062256398159241
92,50.0,1.0,3,0.5675,0.6110941024231541
93,50.0,5.0,3,0.6,0.6308778646814154
94,50.0,10.0,3,0.545,0.5775327126662246
95,50.0,50.0,3,0.535,0.5394600988245999
96,50.0,0.1,6,0.5725,0.6066747483867502
97,50.0,0.5,6,0.58,0.6021820375029149
98,50.0,1.0,6,0.5775,0.608323164769742
99,50.0,5.0,6,0.5975,0.6241122700787993
100,50.0,10.0,6,0.6425,0.5859559075266659
101,50.0,50.0,6,0.535,0.5592143016587947
102,50.0,0.1,9,0.5375,0.5854853366590133
103,50.0,0.5,9,0.5525,0.6006430479234154
104,50.0,1.0,9,0.5425,0.5857193186020004
105,50.0,5.0,9,0.5375,0.5925782143050972
106,50.0,10.0,9,0.5875,0.5399101148659902
