,lamda,beta,p,acc_sy_C,nmi_sy_C
107,50.0,50.0,9,0.5375,0.541894233254206
108,100.0,0.1,3,0.5675,0.6093158717729822
109,100.0,0.5,3,0.5275,0.5863120011338814
110,100.0,1.0,3,0.55,0.5978577482651835
111,100.0,5.0,3,0.47,0.5732062685829362
112,100.0,10.0,3,0.6925,0.6790089442656028
113,100.0,50.0,3,0.515,0.5507351841985526
114,100.0,0.1,6,0.58,0.5989543399710723
115,100.0,0.5,6,0.5825,0.6026794031937687
116,100.0,1.0,6,0.58,0.5995264283587901
117,100.0,5.0,6,0.5625,0.5799139262192383
118,100.0,10.0,6,0.575,0.5984823470928244
119,100.0,50.0,6,0.5275,0.5717797434042741
120,100.0,0.1,9,0.5125,0.5809871621362549
121,100.0,0.5,9,0.53,0.5875676623818173
122,100.0,1.0,9,0.5175,0.5553239946211523
123,100.0,5.0,9,0.5125,0.5902817590007129
124,100.0,10.0,9,0.5325,0.5808075102310725
125,100.0,50.0,9,0.61,0.5739723735156433
