,lamda,beta,p,acc_coI,nmi_coI
0,0.1,0.1,3,0.36944444444444446,0.4771840918149029
1,0.1,0.5,3,0.4027777777777778,0.46833686567099425
2,0.1,1.0,3,0.38055555555555554,0.4534091339063019
3,0.1,5.0,3,0.3611111111111111,0.44902038402255856
4,0.1,10.0,3,0.39166666666666666,0.4685630188624953
5,0.1,50.0,3,0.3861111111111111,0.4578951673472726
6,0.1,0.1,6,0.3972222222222222,0.5185811989803706
7,0.1,0.5,6,0.36666666666666664,0.47331702387737806
8,0.1,1.0,6,0.36944444444444446,0.5097454875897773
9,0.1,5.0,6,0.39444444444444443,0.49612846349145395
10,0.1,10.0,6,0.45,0.5524104148473874
11,0.1,50.0,6,0.4222222222222222,0.5443176201519763
12,0.1,0.1,9,0.40555555555555556,0.5293991278182021
13,0.1,0.5,9,0.4388888888888889,0.5225814912861249
14,0.1,1.0,9,0.43333333333333335,0.533365649266938
15,0.1,5.0,9,0.4166666666666667,0.49565725325900367
16,0.1,10.0,9,0.39166666666666666,0.5303240014513185
17,0.1,50.0,9,0.44166666666666665,0.5330678304493263
18,0.5,0.1,3,0.325,0.47580386128875013
19,0.5,0.5,3,0.3972222222222222,0.5283140611171868
20,0.5,1.0,3,0.4361111111111111,0.5531627774265756
21,0.5,5.0,3,0.4111111111111111,0.5402683790085492
22,0.5,10.0,3,0.38055555555555554,0.4881431804477535
23,0.5,50.0,3,0.33611111111111114,0.48206622533149135
24,0.5,0.1,6,0.4361111111111111,0.5475696429191818
25,0.5,0.5,6,0.4388888888888889,0.5714774895226183
26,0.5,1.0,6,0.39444444444444443,0.5706881255689229
27,0.5,5.0,6,0.45555555555555555,0.5875253357570058
28,0.5,10.0,6,0.42777777777777776,0.5565250473619557
29,0.5,50.0,6,0.4444444444444444,0.5549452488595821
30,0.5,0.1,9,0.45555555555555555,0.5754945840221117
31,0.5,0.5,9,0.4583333333333333,0.6048702731330261
32,0.5,1.0,9,0.41388888888888886,0.5584292433214202
33,0.5,5.0,9,0.425,0.5675205832708742
34,0.5,10.0,9,0.39444444444444443,0.5760011264846976
35,0.5,50.0,9,0.4666666666666667,0.5819354166189187
36,1.0,0.1,3,0.39444444444444443,0.5211409386822607
37,1.0,0.5,3,0.4388888888888889,0.5743004127025798
38,1.0,1.0,3,0.4166666666666667,0.54795055520179
39,1.0,5.0,3,0.3861111111111111,0.547864329318512
40,1.0,10.0,3,0.37222222222222223,0.47988182351247477
41,1.0,50.0,3,0.3472222222222222,0.48027946871556587
42,1.0,0.1,6,0.4111111111111111,0.5795031322887916
43,1.0,0.5,6,0.4444444444444444,0.6087433085361764
44,1.0,1.0,6,0.4444444444444444,0.6061810883649985
45,1.0,5.0,6,0.4583333333333333,0.6327593020794393
46,1.0,10.0,6,0.4361111111111111,0.5973798101666277
47,1.0,50.0,6,0.41388888888888886,0.559033513075365
48,1.0,0.1,9,0.45555555555555555,0.5985075585716612
49,1.0,0.5,9,0.41944444444444445,0.5949664738855914
50,1.0,1.0,9,0.44166666666666665,0.6033291509855405
