,p,beta,lamb,acc_mean,acc_std,nmi_mean,nmi_std
107,4,0.0001,0.6,0.6372499999999999,0.008511022265274606,0.005157139036909508,0.005157139036909508
108,4,0.0003,0.1,0.596875,0.00641653138385531,0.00497913037119669,0.00497913037119669
109,4,0.0003,0.2,0.6085,0.008710625695092176,0.009325293530251896,0.009325293530251896
110,4,0.0003,0.3,0.615,0.00968245836551854,0.007782515637912483,0.007782515637912483
111,4,0.0003,0.4,0.628375,0.010876436686709475,0.008703835626149932,0.008703835626149932
112,4,0.0003,0.5,0.6289999999999999,0.008888194417315571,0.007266468514150246,0.007266468514150246
113,4,0.0003,0.6,0.634,0.00463680924774785,0.004676108243059062,0.004676108243059062
114,4,0.0007,0.1,0.588125,0.0054126587736527424,0.007667361247312812,0.007667361247312812
115,4,0.0007,0.2,0.6003749999999999,0.004890999386628465,0.0038563588462334625,0.0038563588462334625
116,4,0.0007,0.3,0.6085,0.011107429945761532,0.005561715131402847,0.005561715131402847
117,4,0.0007,0.4,0.614125,0.006288630614052639,0.003473885278864397,0.003473885278864397
118,4,0.0007,0.5,0.608125,0.004321096504360904,0.0029979668436709815,0.0029979668436709815
119,4,0.0007,0.6,0.6101250000000001,0.007003347413915731,0.0044434642308800254,0.0044434642308800254
120,5,1e-05,0.1,0.6239999999999999,0.011521718621802901,0.004717217451995484,0.004717217451995484
121,5,1e-05,0.2,0.63075,0.0065717197140474515,0.008506694479936417,0.008506694479936417
122,5,1e-05,0.3,0.6371250000000002,0.0071271926450742155,0.005849385219144418,0.005849385219144418
123,5,1e-05,0.4,0.6365,0.007640353394968074,0.007524506690176023,0.007524506690176023
124,5,1e-05,0.5,0.6396249999999999,0.012754288494463355,0.010470812456447832,0.010470812456447832
125,5,1e-05,0.6,0.6383749999999999,0.007876983877094077,0.006338011377225575,0.006338011377225575
126,5,2e-05,0.1,0.6286250000000001,0.014041790306082769,0.00852378275677676,0.00852378275677676
127,5,2e-05,0.2,0.62975,0.0071545440106270735,0.00891336114992007,0.00891336114992007
128,5,2e-05,0.3,0.63125,0.008533024082937993,0.01034380115120275,0.01034380115120275
129,5,2e-05,0.4,0.6361249999999999,0.008784752415407064,0.008927546477252326,0.008927546477252326
130,5,2e-05,0.5,0.6355000000000001,0.006595452979136472,0.005998347110254929,0.005998347110254929
131,5,2e-05,0.6,0.63675,0.009522998477370453,0.008053060278176207,0.008053060278176207
132,5,3e-05,0.1,0.631,0.011467344941179706,0.008941333095175048,0.008941333095175048
133,5,3e-05,0.2,0.6355000000000001,0.006919176251549016,0.006533424586198904,0.006533424586198904
134,5,3e-05,0.3,0.6315,0.006773108592072002,0.004261940385515178,0.004261940385515178
135,5,3e-05,0.4,0.63425,0.008181534085976772,0.005873509174284964,0.005873509174284964
136,5,3e-05,0.5,0.634,0.010588909292273681,0.007712832967879423,0.007712832967879423
137,5,3e-05,0.6,0.6365,0.012384466076500832,0.006530094705339627,0.006530094705339627
138,5,4e-05,0.1,0.629375,0.014638882300230438,0.012134474712005312,0.012134474712005312
139,5,4e-05,0.2,0.633125,0.006014305861859705,0.005879722536431183,0.005879722536431183
140,5,4e-05,0.3,0.6391249999999998,0.01025533397798434,0.005335553080531762,0.005335553080531762
141,5,4e-05,0.4,0.635125,0.005272274177240805,0.005880383553824143,0.005880383553824143
142,5,4e-05,0.5,0.636875,0.0063183759780500535,0.005134581730413888,0.005134581730413888
143,5,4e-05,0.6,0.6367500000000001,0.008699856320652654,0.004980848043940775,0.004980848043940775
144,5,5e-05,0.1,0.6363749999999999,0.015958442123214914,0.016782906019355073,0.016782906019355073
145,5,5e-05,0.2,0.635875,0.010163507022676755,0.005418833636225637,0.005418833636225637
146,5,5e-05,0.3,0.6348749999999999,0.010649970657236578,0.0044155780198431565,0.0044155780198431565
147,5,5e-05,0.4,0.6365000000000001,0.006244997998398403,0.006369696780117702,0.006369696780117702
148,5,5e-05,0.5,0.634125,0.007038954112650531,0.004752075077711783,0.004752075077711783
149,5,5e-05,0.6,0.637625,0.008458538585358581,0.004508206831307488,0.004508206831307488
150,5,6e-05,0.1,0.634625,0.015915303170219535,0.016720621476345128,0.016720621476345128
151,5,6e-05,0.2,0.639875,0.01144210972679426,0.0114190238091538,0.0114190238091538
152,5,6e-05,0.3,0.636,0.008344159634139314,0.006004966109668037,0.006004966109668037
153,5,6e-05,0.4,0.6345,0.008753570700005792,0.0058856567944247816,0.0058856567944247816
154,5,6e-05,0.5,0.634125,0.007635239027037723,0.0061390604124157405,0.0061390604124157405
155,5,6e-05,0.6,0.635375,0.005492893135679966,0.00653881505804504,0.00653881505804504
156,5,8e-05,0.1,0.635625,0.013249410364238847,0.012411556742505018,0.012411556742505018
157,5,8e-05,0.2,0.6465000000000002,0.0022912878474779124,0.0029967039999830745,0.0029967039999830745
158,5,8e-05,0.3,0.638625,0.009369998665955089,0.0037904357185095192,0.0037904357185095192
159,5,8e-05,0.4,0.641625,0.006435982830928009,0.004249887447858529,0.004249887447858529
160,5,8e-05,0.5,0.6388749999999999,0.007223010106596823,0.005909221577316787,0.005909221577316787
161,5,8e-05,0.6,0.638375,0.008414087888773205,0.007244991465665307,0.007244991465665307
162,5,0.0001,0.1,0.6355000000000001,0.01646207763315433,0.011189179085599642,0.011189179085599642
163,5,0.0001,0.2,0.648625,0.004574043615883003,0.002746750117538732,0.002746750117538732
164,5,0.0001,0.3,0.6491250000000001,0.003379626458648942,0.004002058299843734,0.004002058299843734
165,5,0.0001,0.4,0.6407499999999999,0.008554969316134331,0.006346385598700394,0.006346385598700394
166,5,0.0001,0.5,0.6453749999999999,0.007170904754631744,0.005741434227159082,0.005741434227159082
167,5,0.0001,0.6,0.6399999999999999,0.00680073525436772,0.006768727490236263,0.006768727490236263
168,5,0.0003,0.1,0.599875,0.00583497000849191,0.00543649627506963,0.00543649627506963
169,5,0.0003,0.2,0.60825,0.007628073151196187,0.006461126291072536,0.006461126291072536
170,5,0.0003,0.3,0.6219999999999999,0.006547900426854378,0.006863979313760595,0.006863979313760595
171,5,0.0003,0.4,0.625625,0.0029448047473474162,0.002852319421905616,0.002852319421905616
172,5,0.0003,0.5,0.6301249999999999,0.003663587722438202,0.003672580607659633,0.003672580607659633
173,5,0.0003,0.6,0.637125,0.004349928160326338,0.006111859335474332,0.006111859335474332
174,5,0.0007,0.1,0.5916250000000001,0.0058776589727543745,0.006688418117442378,0.006688418117442378
175,5,0.0007,0.2,0.6057500000000001,0.008181534085976792,0.007924889158439852,0.007924889158439852
176,5,0.0007,0.3,0.6095,0.004582575694955841,0.006705936844202276,0.006705936844202276
177,5,0.0007,0.4,0.6052500000000001,0.006269968101992239,0.005860214383832561,0.005860214383832561
178,5,0.0007,0.5,0.6038749999999999,0.009502466784998501,0.006478316435807224,0.006478316435807224
179,5,0.0007,0.6,0.6023750000000001,0.007561208567418312,0.007166981372234404,0.007166981372234404
180,6,1e-05,0.1,0.6256250000000001,0.021835678945249213,0.010929185516513267,0.010929185516513267
181,6,1e-05,0.2,0.619375,0.011036162149950493,0.005449814007304031,0.005449814007304031
182,6,1e-05,0.3,0.6345000000000001,0.012439855304624716,0.006433475348800778,0.006433475348800778
183,6,1e-05,0.4,0.6463749999999999,0.006958582829858411,0.006044702140824939,0.006044702140824939
184,6,1e-05,0.5,0.6461249999999998,0.008855612627029273,0.004619532577729266,0.004619532577729266
185,6,1e-05,0.6,0.64275,0.009384162189561743,0.005828233365017396,0.005828233365017396
186,6,2e-05,0.1,0.6225,0.017730623226497134,0.012387986181503802,0.012387986181503802
187,6,2e-05,0.2,0.6260000000000001,0.011163556780883039,0.005044083504728447,0.005044083504728447
188,6,2e-05,0.3,0.6299999999999999,0.014339630399699977,0.006972433058305605,0.006972433058305605
189,6,2e-05,0.4,0.6428749999999999,0.009462921060645082,0.00669726360035633,0.00669726360035633
190,6,2e-05,0.5,0.6457499999999999,0.007909646009778202,0.004791746872082216,0.004791746872082216
191,6,2e-05,0.6,0.6405000000000001,0.0070533679898329375,0.005966099073605475,0.005966099073605475
192,6,3e-05,0.1,0.6300000000000001,0.015532224567009057,0.01082620663836913,0.01082620663836913
193,6,3e-05,0.2,0.622125,0.010644100478668905,0.004250214668723369,0.004250214668723369
194,6,3e-05,0.3,0.6232500000000001,0.012602083161128555,0.006279213523669606,0.006279213523669606
195,6,3e-05,0.4,0.6381249999999999,0.013225803378245115,0.008998603093233016,0.008998603093233016
196,6,3e-05,0.5,0.6415,0.007640353394968053,0.00525364377529292,0.00525364377529292
197,6,3e-05,0.6,0.646875,0.008510104288432664,0.006051494820282254,0.006051494820282254
198,6,4e-05,0.1,0.625875,0.019593924441009755,0.014847477975302755,0.014847477975302755
199,6,4e-05,0.2,0.6227499999999999,0.009743587634952533,0.004180858973404734,0.004180858973404734
200,6,4e-05,0.3,0.62675,0.010003124511871265,0.00621378266599913,0.00621378266599913
201,6,4e-05,0.4,0.637625,0.011304727993189392,0.0072325342119251256,0.0072325342119251256
202,6,4e-05,0.5,0.637875,0.008226291691886455,0.005570569614923532,0.005570569614923532
203,6,4e-05,0.6,0.6453749999999999,0.011047482744951457,0.005848950664024379,0.005848950664024379
204,6,5e-05,0.1,0.6376250000000001,0.0066367819762291405,0.01554804690433559,0.01554804690433559
205,6,5e-05,0.2,0.6239999999999999,0.010105691465703845,0.005522584721601452,0.005522584721601452
206,6,5e-05,0.3,0.6235,0.008817596044274177,0.004077873720859978,0.004077873720859978
207,6,5e-05,0.4,0.6348750000000001,0.00920173217388986,0.006456303354125108,0.006456303354125108
208,6,5e-05,0.5,0.6375,0.00829156197588848,0.003972038925257306,0.003972038925257306
209,6,5e-05,0.6,0.645,0.012424773639789192,0.009682093413559226,0.009682093413559226
210,6,6e-05,0.1,0.633375,0.01798045814210528,0.018000084919239413,0.018000084919239413
211,6,6e-05,0.2,0.6332500000000001,0.005651327277728658,0.005127537716914091,0.005127537716914091
212,6,6e-05,0.3,0.619875,0.011221491656638168,0.004192186967815764,0.004192186967815764
213,6,6e-05,0.4,0.627125,0.009329891478468529,0.004676698255310747,0.004676698255310747
214,6,6e-05,0.5,0.6385,0.00975961064797156,0.008005415911648413,0.008005415911648413
215,6,6e-05,0.6,0.64375,0.010353139620424336,0.005692339074791206,0.005692339074791206
216,6,8e-05,0.1,0.63575,0.016846735588831444,0.015436606255581619,0.015436606255581619
217,6,8e-05,0.2,0.638125,0.007326109131046301,0.004309366633788381,0.004309366633788381
218,6,8e-05,0.3,0.625875,0.007594200089542005,0.0026415731659418327,0.0026415731659418327
219,6,8e-05,0.4,0.627375,0.013097590427250349,0.0071466862006039685,0.0071466862006039685
220,6,8e-05,0.5,0.630875,0.008741960592452915,0.0065519281196060935,0.0065519281196060935
221,6,8e-05,0.6,0.6460000000000001,0.008993052874302486,0.007299928672063539,0.007299928672063539
222,6,0.0001,0.1,0.6421249999999998,0.011047482744951442,0.010090829777668363,0.010090829777668363
223,6,0.0001,0.2,0.6457500000000002,0.004683748498798796,0.005401817388517234,0.005401817388517234
224,6,0.0001,0.3,0.6288750000000001,0.011738691366587659,0.00615797789325194,0.00615797789325194
225,6,0.0001,0.4,0.624125,0.00959410626374337,0.0052000473955488334,0.0052000473955488334
226,6,0.0001,0.5,0.6295,0.009829801625668735,0.005967088968898452,0.005967088968898452
227,6,0.0001,0.6,0.644125,0.011271507219533683,0.0074693272131719805,0.0074693272131719805
228,6,0.0003,0.1,0.602,0.012160386507015312,0.010390416306780488,0.010390416306780488
229,6,0.0003,0.2,0.6091249999999999,0.01272976335208161,0.009429867605265648,0.009429867605265648
230,6,0.0003,0.3,0.615375,0.008226291691886444,0.006969252061005254,0.006969252061005254
231,6,0.0003,0.4,0.6193750000000001,0.006561011736005338,0.0038180570874532934,0.0038180570874532934
232,6,0.0003,0.5,0.6217500000000001,0.006571719714047443,0.004304524312557687,0.004304524312557687
233,6,0.0003,0.6,0.623625,0.007394043210585112,0.004114994382815862,0.004114994382815862
234,6,0.0007,0.1,0.5867500000000001,0.009685685313905252,0.008992028725383166,0.008992028725383166
235,6,0.0007,0.2,0.6078750000000002,0.006994417416768897,0.0066095529699149,0.0066095529699149
236,6,0.0007,0.3,0.6088749999999999,0.007179615240387187,0.007472012931426256,0.007472012931426256
237,6,0.0007,0.4,0.6055,0.005567764362830039,0.004387166617619575,0.004387166617619575
238,6,0.0007,0.5,0.61175,0.007750000000000002,0.005206456193891095,0.005206456193891095
239,6,0.0007,0.6,0.6064999999999999,0.009500000000000007,0.008039641937028028,0.008039641937028028
