,lamda,beta,p,acc_inG,nmi_inG
78,10,0.1,6,0.463888889,0.657648917
103,50,0.5,9,0.5,0.655757561
117,100,5,6,0.497222222,0.6484456
97,50,0.5,6,0.458333333,0.645398429
115,100,0.5,6,0.477777778,0.645166225
98,50,1,6,0.461111111,0.641796572
60,5,0.1,6,0.455555556,0.631768348
108,100,0.1,3,0.436111111,0.623906763
116,100,1,6,0.413888889,0.623728717
25,0.5,0.5,6,0.45,0.621972098
114,100,0.1,6,0.458333333,0.620108374
80,10,1,6,0.452777778,0.618673626
62,5,1,6,0.441666667,0.617736812
26,0.5,1,6,0.461111111,0.615082281
72,10,0.1,3,0.416666667,0.61299893
85,10,0.5,9,0.45,0.612137641
66,5,0.1,9,0.458333333,0.611829257
32,0.5,1,9,0.45,0.610685595
90,50,0.1,3,0.422222222,0.610549157
91,50,0.5,3,0.433333333,0.610279892
96,50,0.1,6,0.463888889,0.610104914
122,100,1,9,0.463888889,0.609659799
99,50,5,6,0.45,0.608723583
42,1,0.1,6,0.458333333,0.605664393
71,5,50,9,0.458333333,0.604334411
86,10,1,9,0.45,0.604017992
67,5,0.5,9,0.458333333,0.602724387
106,50,10,9,0.472222222,0.601410431
104,50,1,9,0.488888889,0.600355755
34,0.5,10,9,0.441666667,0.600145938
100,50,10,6,0.447222222,0.59991997
55,5,0.5,3,0.430555556,0.598837933
88,10,10,9,0.472222222,0.598214955
49,1,0.5,9,0.45,0.597386354
109,100,0.5,3,0.402777778,0.597278007
54,5,0.1,3,0.408333333,0.596930386
64,5,10,6,0.447222222,0.595729894
48,1,0.1,9,0.458333333,0.593823243
102,50,0.1,9,0.452777778,0.593805794
0,0.1,0.1,3,0.455555556,0.593287321
124,100,10,9,0.469444444,0.592882852
45,1,5,6,0.438888889,0.592139213
43,1,0.5,6,0.419444444,0.59126993
79,10,0.5,6,0.455555556,0.591112996
20,0.5,1,3,0.441666667,0.590511494
118,100,10,6,0.45,0.589568348
82,10,10,6,0.422222222,0.588571518
74,10,1,3,0.386111111,0.588185519
73,10,0.5,3,0.419444444,0.587489227
51,1,5,9,0.45,0.585920899
7,0.1,0.5,6,0.419444444,0.585760568
44,1,1,6,0.444444444,0.585502596
93,50,5,3,0.413888889,0.584896967
84,10,0.1,9,0.419444444,0.583772455
110,100,1,3,0.4,0.582994077
125,100,50,9,0.45,0.582788054
69,5,5,9,0.444444444,0.582241835
35,0.5,50,9,0.444444444,0.582222285
101,50,50,6,0.430555556,0.582092325
6,0.1,0.1,6,0.441666667,0.581573925
105,50,5,9,0.444444444,0.580731404
50,1,1,9,0.444444444,0.580664022
61,5,0.5,6,0.427777778,0.57900612
15,0.1,5,9,0.444444444,0.578515703
30,0.5,0.1,9,0.425,0.578075178
87,10,5,9,0.45,0.577513792
29,0.5,50,6,0.447222222,0.57730018
24,0.5,0.1,6,0.480555556,0.575906915
81,10,5,6,0.419444444,0.575025775
68,5,1,9,0.463888889,0.574958143
107,50,50,9,0.447222222,0.573050914
19,0.5,0.5,3,0.441666667,0.572241923
36,1,0.1,3,0.425,0.571896188
33,0.5,5,9,0.444444444,0.570947122
120,100,0.1,9,0.427777778,0.570127137
65,5,50,6,0.422222222,0.567369815
2,0.1,1,3,0.5,0.567122112
123,100,5,9,0.433333333,0.567003936
46,1,10,6,0.402777778,0.56241474
14,0.1,1,9,0.433333333,0.562411374
38,1,1,3,0.461111111,0.560633936
22,0.5,10,3,0.433333333,0.560633932
52,1,10,9,0.45,0.560043853
92,50,1,3,0.405555556,0.558723391
113,100,50,3,0.4,0.557757466
13,0.1,0.5,9,0.436111111,0.555930121
31,0.5,0.5,9,0.416666667,0.553294801
119,100,50,6,0.388888889,0.55306269
77,10,50,3,0.4,0.552939166
112,100,10,3,0.377777778,0.552555667
10,0.1,10,6,0.419444444,0.552314869
16,0.1,10,9,0.455555556,0.552107324
18,0.5,0.1,3,0.405555556,0.55184194
47,1,50,6,0.405555556,0.550977366
12,0.1,0.1,9,0.408333333,0.547871714
1,0.1,0.5,3,0.422222222,0.54670156
37,1,0.5,3,0.4,0.546435547
8,0.1,1,6,0.419444444,0.546216995
76,10,10,3,0.416666667,0.5439769
63,5,5,6,0.397222222,0.543517096
27,0.5,5,6,0.386111111,0.54224808
70,5,10,9,0.413888889,0.538666978
40,1,10,3,0.4,0.538637957
28,0.5,10,6,0.408333333,0.537404399
53,1,50,9,0.4,0.536669658
95,50,50,3,0.375,0.53661593
9,0.1,5,6,0.441666667,0.536614426
89,10,50,9,0.386111111,0.535410688
83,10,50,6,0.436111111,0.535351981
56,5,1,3,0.369444444,0.53313088
59,5,50,3,0.383333333,0.532803389
17,0.1,50,9,0.425,0.528532946
39,1,5,3,0.383333333,0.526792627
11,0.1,50,6,0.402777778,0.522590555
94,50,10,3,0.416666667,0.519886524
41,1,50,3,0.363888889,0.519395165
121,100,0.5,9,0.333333333,0.517114887
111,100,5,3,0.380555556,0.51611179
57,5,5,3,0.375,0.51537464
4,0.1,10,3,0.375,0.514062008
23,0.5,50,3,0.388888889,0.513715786
75,10,5,3,0.347222222,0.507454933
3,0.1,5,3,0.383333333,0.498372772
58,5,10,3,0.347222222,0.498165005
5,0.1,50,3,0.369444444,0.486660767
21,0.5,5,3,0.361111111,0.482455207
