,lamda,beta,p,acc_coI,nmi_coI
72,10.0,0.1,3,0.49217391304347824,0.7443391489074944
73,10.0,0.5,3,0.48695652173913045,0.7330321934403353
74,10.0,1.0,3,0.4973913043478261,0.7249379995724952
75,10.0,5.0,3,0.48695652173913045,0.7366030254844812
76,10.0,10.0,3,0.4852173913043478,0.7336150769759484
77,10.0,50.0,3,0.4834782608695652,0.7485030549856355
78,10.0,0.1,6,0.49391304347826087,0.7253269314224045
79,10.0,0.5,6,0.5095652173913043,0.7405603291028143
80,10.0,1.0,6,0.5060869565217392,0.7468499082310016
81,10.0,5.0,6,0.4817391304347826,0.7314725378722372
82,10.0,10.0,6,0.4469565217391304,0.6984690673098046
83,10.0,50.0,6,0.47304347826086957,0.7230240580208775
84,10.0,0.1,9,0.4643478260869565,0.6781944372303437
85,10.0,0.5,9,0.44,0.6857503041334938
86,10.0,1.0,9,0.4365217391304348,0.6728821690287619
87,10.0,5.0,9,0.43826086956521737,0.679854487525968
88,10.0,10.0,9,0.44,0.6747696086231038
89,10.0,50.0,9,0.4191304347826087,0.6617109054987776
90,50.0,0.1,3,0.528695652173913,0.7653157233378447
91,50.0,0.5,3,0.5721739130434783,0.781850158107486
92,50.0,1.0,3,0.5269565217391304,0.7604495901700531
93,50.0,5.0,3,0.5217391304347826,0.765232035638541
94,50.0,10.0,3,0.5182608695652174,0.7517958542300982
95,50.0,50.0,3,0.5095652173913043,0.7316975417172398
96,50.0,0.1,6,0.5078260869565218,0.7479559063417867
97,50.0,0.5,6,0.5356521739130434,0.7643889477345075
98,50.0,1.0,6,0.47130434782608693,0.7285460996578791
99,50.0,5.0,6,0.5356521739130434,0.7527915830992508
100,50.0,10.0,6,0.52,0.7588872667899021
101,50.0,50.0,6,0.5269565217391304,0.750011203372267
102,50.0,0.1,9,0.5060869565217392,0.7058033638810758
103,50.0,0.5,9,0.4191304347826087,0.6730127042345923
104,50.0,1.0,9,0.4991304347826087,0.7160279669634495
105,50.0,5.0,9,0.4973913043478261,0.7360669624640325
106,50.0,10.0,9,0.48695652173913045,0.7041272658849653
107,50.0,50.0,9,0.48695652173913045,0.7180567777617799
108,100.0,0.1,3,0.5756521739130435,0.7778601152116765
109,100.0,0.5,3,0.528695652173913,0.7817746914385337
110,100.0,1.0,3,0.5808695652173913,0.7929661460272538
111,100.0,5.0,3,0.542608695652174,0.7856001897162407
112,100.0,10.0,3,0.5165217391304348,0.7776253389111417
113,100.0,50.0,3,0.6539130434782608,0.8200702055240534
114,100.0,0.1,6,0.52,0.7564565970277694
115,100.0,0.5,6,0.5756521739130435,0.8009893134338616
116,100.0,1.0,6,0.5234782608695652,0.7614373357312342
117,100.0,5.0,6,0.5478260869565217,0.7701454219384761
118,100.0,10.0,6,0.5565217391304348,0.7861331755972675
119,100.0,50.0,6,0.5304347826086957,0.7504831373997021
120,100.0,0.1,9,0.48695652173913045,0.7242960943994061
121,100.0,0.5,9,0.4834782608695652,0.702548121057674
122,100.0,1.0,9,0.48,0.7257572176989922
123,100.0,5.0,9,0.5113043478260869,0.7330345200459337
124,100.0,10.0,9,0.49217391304347824,0.6983685841853753
125,100.0,50.0,9,0.5113043478260869,0.725413055336406
