,lamda,beta,p,acc_hyT,nmi_hyT
111,100,5,3,0.662608696,0.855085706
100,50,10,6,0.615652174,0.790481657
92,50,1,3,0.605217391,0.794125498
117,100,5,6,0.59826087,0.775346531
109,100,0.5,3,0.596521739,0.786174673
81,10,5,6,0.589565217,0.744609564
118,100,10,6,0.589565217,0.784939338
110,100,1,3,0.582608696,0.79344028
62,5,1,6,0.577391304,0.7780915
97,50,0.5,6,0.577391304,0.790082197
80,10,1,6,0.572173913,0.779663726
99,50,5,6,0.568695652,0.791637826
98,50,1,6,0.56173913,0.77388368
102,50,0.1,9,0.547826087,0.74142618
114,100,0.1,6,0.547826087,0.774937182
106,50,10,9,0.540869565,0.73770557
56,5,1,3,0.539130435,0.726973224
112,100,10,3,0.539130435,0.737215977
61,5,0.5,6,0.535652174,0.753491133
96,50,0.1,6,0.532173913,0.75292993
115,100,0.5,6,0.530434783,0.749101377
44,1,1,6,0.526956522,0.682478839
73,10,0.5,3,0.525217391,0.749099605
93,50,5,3,0.525217391,0.742741733
82,10,10,6,0.523478261,0.659760172
125,100,50,9,0.523478261,0.709864926
74,10,1,3,0.52,0.747517974
108,100,0.1,3,0.52,0.772881453
91,50,0.5,3,0.51826087,0.750367502
122,100,1,9,0.516521739,0.717634074
55,5,0.5,3,0.511304348,0.726370281
116,100,1,6,0.511304348,0.76089763
60,5,0.1,6,0.507826087,0.727351829
121,100,0.5,9,0.504347826,0.729693735
79,10,0.5,6,0.500869565,0.742132271
78,10,0.1,6,0.497391304,0.713106999
90,50,0.1,3,0.497391304,0.766929606
123,100,5,9,0.497391304,0.713767369
50,1,1,9,0.495652174,0.710441143
94,50,10,3,0.495652174,0.730745232
119,100,50,6,0.492173913,0.680353866
43,1,0.5,6,0.490434783,0.734634764
24,0.5,0.1,6,0.488695652,0.724885924
63,5,5,6,0.488695652,0.657637153
26,0.5,1,6,0.485217391,0.674081568
87,10,5,9,0.48173913,0.708453257
72,10,0.1,3,0.48,0.721817147
32,0.5,1,9,0.47826087,0.684488953
67,5,0.5,9,0.476521739,0.697083836
68,5,1,9,0.476521739,0.721641945
18,0.5,0.1,3,0.474782609,0.689991057
120,100,0.1,9,0.473043478,0.713244532
124,100,10,9,0.473043478,0.712849137
54,5,0.1,3,0.471304348,0.721961822
42,1,0.1,6,0.469565217,0.699752051
75,10,5,3,0.469565217,0.684497225
66,5,0.1,9,0.466086957,0.681594991
105,50,5,9,0.466086957,0.729178787
12,0.1,0.1,9,0.464347826,0.654275815
45,1,5,6,0.460869565,0.61072259
103,50,0.5,9,0.460869565,0.685675906
37,1,0.5,3,0.459130435,0.633038597
25,0.5,0.5,6,0.457391304,0.691141824
113,100,50,3,0.457391304,0.627074502
31,0.5,0.5,9,0.455652174,0.653557126
86,10,1,9,0.453913043,0.690547792
101,50,50,6,0.453913043,0.626608056
69,5,5,9,0.452173913,0.661126581
85,10,0.5,9,0.452173913,0.714350798
104,50,1,9,0.452173913,0.697070498
49,1,0.5,9,0.450434783,0.682134551
6,0.1,0.1,6,0.448695652,0.644240642
36,1,0.1,3,0.448695652,0.665010448
57,5,5,3,0.448695652,0.657523366
88,10,10,9,0.446956522,0.63313553
48,1,0.1,9,0.445217391,0.674228224
76,10,10,3,0.44,0.604165671
84,10,0.1,9,0.44,0.684991466
64,5,10,6,0.434782609,0.658203631
30,0.5,0.1,9,0.427826087,0.670942104
38,1,1,3,0.424347826,0.639126898
14,0.1,1,9,0.419130435,0.591591129
58,5,10,3,0.415652174,0.587983265
13,0.1,0.5,9,0.412173913,0.614127934
7,0.1,0.5,6,0.410434783,0.583154607
70,5,10,9,0.410434783,0.579144527
107,50,50,9,0.408695652,0.58055172
0,0.1,0.1,3,0.406956522,0.608652295
33,0.5,5,9,0.406956522,0.559995663
51,1,5,9,0.40173913,0.553860586
52,1,10,9,0.4,0.536575981
19,0.5,0.5,3,0.379130435,0.589169061
20,0.5,1,3,0.373913043,0.589684784
8,0.1,1,6,0.370434783,0.547481695
27,0.5,5,6,0.36173913,0.525870695
34,0.5,10,9,0.36173913,0.515653505
1,0.1,0.5,3,0.353043478,0.517949546
28,0.5,10,6,0.347826087,0.507414646
39,1,5,3,0.340869565,0.498760333
89,10,50,9,0.332173913,0.519561286
46,1,10,6,0.330434783,0.520222758
2,0.1,1,3,0.32173913,0.468208453
15,0.1,5,9,0.311304348,0.461908314
40,1,10,3,0.309565217,0.471686875
9,0.1,5,6,0.307826087,0.43922903
77,10,50,3,0.306086957,0.476107907
83,10,50,6,0.306086957,0.510035678
95,50,50,3,0.299130435,0.517937326
21,0.5,5,3,0.290434783,0.434521977
35,0.5,50,9,0.285217391,0.409694255
22,0.5,10,3,0.283478261,0.418143295
16,0.1,10,9,0.28173913,0.373546353
71,5,50,9,0.266086957,0.452723952
3,0.1,5,3,0.260869565,0.384995614
10,0.1,10,6,0.257391304,0.330832021
53,1,50,9,0.250434783,0.420036081
4,0.1,10,3,0.24,0.313829269
17,0.1,50,9,0.229565217,0.280259401
29,0.5,50,6,0.226086957,0.380626776
59,5,50,3,0.226086957,0.425306225
65,5,50,6,0.222608696,0.451034962
11,0.1,50,6,0.220869565,0.266962292
47,1,50,6,0.220869565,0.40599203
23,0.5,50,3,0.213913043,0.314288101
5,0.1,50,3,0.20173913,0.2482987
41,1,50,3,0.191304348,0.312167382
